Subfolder,Deal,NorthHand,EastHand,SouthHand,WestHand,label
2Club,13,S:Q93 H:A97653 D:72 C:84,S:87642 H:2 D:AJT86 C:96,S:AK H:KT84 D:KQ9 C:AKQ5,S:JT5 H:QJ D:543 C:JT732,auction_calm
2Club,14,S:K53 H:Q95 D:AKQ6 C:AKQ,S:642 H:KJ432 D:JT8 C:97,S:AQJT7 H:86 D:943 C:652,S:98 H:AT7 D:752 C:JT843,auction_calm
2Club,15,S:KQ9 H:864 D:AQT6 C:J54,S:7653 H:Q9752 D:98 C:97,S:A82 H:AK3 D:KJ7 C:AKT6,S:JT4 H:JT D:5432 C:Q832,auction_calm
2Club,16,S:AK3 H:KQT D:AJ2 C:KQJT,S:92 H:J84 D:9863 C:9742,S:QJT7 H:A96 D:KQ5 C:A83,S:8654 H:7532 D:T74 C:65,auction_calm
2Club,17,S:AK H:AKT86 D:75 C:AKQ6,S:Q543 H:9 D:QJ3 C:JT942,S:86 H:Q752 D:A9864 C:53,S:JT972 H:J43 D:KT2 C:87,auction_calm
2Club,18,S:AJ H:AKT86 D:Q94 C:AKQ,S:T H:QJ93 D:JT62 C:JT64,S:KQ9865 H:7 D:85 C:9532,S:7432 H:542 D:AK73 C:87,auction_calm
2Club,19,S:AJT75 H:8 D:A3 C:97642,S:42 H:QT95432 D:JT2 C:T,S:KQ63 H:AK D:KQ9 C:AKQ5,S:98 H:J76 D:87654 C:J83,auction_calm
2Club,20,S:AKQ75 H:A6 D:AQ7 C:KQ3,S:J2 H:984 D:853 C:AJT52,S:63 H:KQJT2 D:T96 C:984,S:T984 H:753 D:KJ42 C:76,auction_calm
2over1,1,S:QT5 H:KQJT5 D:74 C:AQ6,S:A32 H:96 D:QJ5 C:T9832,S:J84 H:A2 D:KT963 C:KJ4,S:K976 H:8743 D:A82 C:75,auction_calm
2over1,2,S:65 H:KQJ843 D:A5 C:Q63,S:942 H:T5 D:QJ74 C:A752,S:KJ8 H:A2 D:KT963 C:KJ4,S:AQT73 H:976 D:82 C:T98,auction_calm
2over1,3,S:K5 H:KQJ743 D:75 C:AK4,S:9732 H:5 D:JT84 C:Q852,S:Q6 H:A82 D:AKQ63 C:763,S:AJT84 H:T96 D:92 C:JT9,auction_calm
2over1,4,S:AKJ865 H:43 D:75 C:K63,S:42 H:QJ D:AKQT83 C:985,S:Q H:A9865 D:962 C:A742,S:T973 H:KT72 D:J4 C:QJT,auction_1s_2d
2over1,5,S:KJ965 H:AK843 D:75 C:4,S:873 H:J92 D:KQT98 C:J5,S:Q4 H:QT7 D:AJ6 C:AT986,S:AT2 H:65 D:432 C:KQ732,auction_calm
2over1,6,S:65 H:AQ953 D:KQ63 C:Q9,S:K2 H:J82 D:74 C:AJT843,S:AJT74 H:KT7 D:A95 C:72,S:Q983 H:64 D:JT82 C:K65,auction_calm
2over1,7,S:AK9652 H:T983 D:4 C:A8,S:83 H:J6 D:QJT85 C:J432,S:7 H:AK75 D:K762 C:KQT6,S:QJT4 H:Q42 D:A93 C:975,auction_calm
2over1,8,S:AK92 H:AQ983 D:85 C:86,S:Q3 H:JT5 D:642 C:QJT32,S:875 H:K4 D:AQJT7 C:K97,S:JT64 H:762 D:K93 C:A54,auction_calm
2over1,9,S:A9742 H:A983 D:K6 C:Q7,S:Q3 H:KQ4 D:JT42 C:T943,S:K8 H:JT7 D:975 C:AKJ62,S:JT65 H:652 D:AQ83 C:85,auction_calm
2over1,10,S:A4 H:KJT8653 D:KQ C:87,S:Q8 H:4 D:J9632 C:T9652,S:KJ763 H:AQ7 D:84 C:AQJ,S:T952 H:92 D:AT75 C:K43,auction_calm
2over1,11,S:AJT H:AK985 D:K96 C:Q7,S:974 H:QJT4 D:T75 C:986,S:863 H:73 D:AQ4 C:AKJT4,S:KQ52 H:62 D:J832 C:532,auction_calm
2over1,12,S:AJ8752 H:AK D:Q6 C:J87,S:94 H:T8764 D:853 C:KQT,S:Q63 H:Q3 D:AKJ94 C:964,S:KT H:J952 D:T72 C:A532,auction_calm
2over1,13,S:AJT62 H:A62 D:QJ C:T87,S:Q7 H:T D:T8632 C:QJ962,S:K5 H:KQ98543 D:A4 C:A4,S:9843 H:J7 D:K975 C:K53,auction_calm
2over1,14,S:QJ2 H:KT D:KQ865 C:Q87,S:98643 H:96 D:AT9 C:T96,S:A H:AQJ753 D:742 C:KJ4,S:KT75 H:842 D:J3 C:A532,auction_calm
2over1,15,S:AQ862 H:T4 D:K65 C:K87,S:K743 H:6 D:QJT7 C:AT92,S:J H:KQJ753 D:432 C:Q54,S:T95 H:A982 D:A98 C:J63,auction_calm
2over1,16,S:AQ862 H:A4 D:95 C:AK87,S:754 H:J92 D:KQ876 C:32,S:K H:K753 D:AT32 C:J954,S:JT93 H:QT86 D:J4 C:QT6,auction_calm
2over1,17,S:862 H:AQJ753 D:95 C:A2,S:AQ743 H:94 D:A874 C:97,S:K95 H:T6 D:KT32 C:JT54,S:JT H:K82 D:QJ6 C:KQ863,auction_calm
2over1,18,S:KJ2 H:874 D:AQ975 C:Q2,S:84 H:Q3 D:J3 C:KJ98763,S:AQT95 H:T96 D:KT86 C:A,S:763 H:AKJ52 D:42 C:T54,auction_calm
2over1,19,S:K92 H:AK874 D:KT7 C:T8,S:A854 H:Q D:J962 C:A763,S:JT6 H:9 D:853 C:KQJ952,S:Q73 H:JT6532 D:AQ4 C:4,auction_1h_x
2over1,20,S:QJ2 H:J2 D:QJ862 C:AKJ,S:T H:A63 D:T5 C:QT87652,S:AK98764 H:KQ7 D:K73 C:,S:53 H:T9854 D:A94 C:943,auction_calm
2over1,21,S:AJT82 H:AK82 D:Q2 C:T5,S:K6 H:T5 D:T854 C:Q8762,S:74 H:Q73 D:AKJ73 C:KJ9,S:Q953 H:J964 D:96 C:A43,auction_calm
2over1,22,S:AJT82 H:AT82 D:Q2 C:K5,S:K6 H:95 D:T854 C:QJ862,S:74 H:KQ3 D:AKJ73 C:T97,S:Q953 H:J764 D:96 C:A43,auction_calm
2over1,23,S:T82 H:A2 D:A8542 C:Q85,S:Q5 H:95 D:KJ96 C:KJ962,S:AK974 H:KQ63 D:73 C:T7,S:J63 H:JT874 D:QT C:A43,auction_calm
2over1,24,S:KQT62 H:A74 D:84 C:A85,S:A8 H:Q5 D:KJ95 C:JT972,S:74 H:9863 D:A762 C:KQ3,S:J953 H:KJT2 D:QT3 C:64,auction_calm
2over1,25,S:Q6 H:AKQ972 D:984 C:AQ,S:J5 H:5 D:KT52 C:KT8762,S:AK874 H:J86 D:AJ6 C:93,S:T932 H:T43 D:Q73 C:J54,auction_calm
2over1,26,S:QJ8763 H:AK8 D:8 C:K75,S:52 H:T53 D:KQJ953 C:42,S:A4 H:QJ6 D:7642 C:A963,S:KT9 H:9742 D:AT C:QJT8,auction_calm
2over1,27,S:QJ9842 H:AJ95 D:83 C:K,S:65 H:K764 D:K954 C:T98,S:T7 H:QT3 D:AJ6 C:AQ642,S:AK3 H:82 D:QT72 C:J753,auction_calm
2over1,28,S:AJ8 H:Q652 D:873 C:A74,S:T4 H:J4 D:AT54 C:KJT82,S:KQ753 H:87 D:KQ6 C:Q95,S:962 H:AKT93 D:J92 C:63,auction_calm
Bidpractice/Set1,1,S:AT6 H:A74 D:KQT2 C:K84,S:J94 H:QJT5 D:J75 C:QJT,S:853 H:K96 D:A863 C:965,S:KQ72 H:832 D:94 C:A732,auction_calm
Bidpractice/Set1,2,S:T97 H:A96 D:KQ73 C:K84,S:863 H:QJ74 D:A64 C:T97,S:AQ4 H:KT8 D:JT95 C:AQ6,S:KJ52 H:532 D:82 C:J532,auction_calm
Bidpractice/Set1,3,S:KQ82 H:K96 D:A94 C:A65,S:T6 H:J42 D:863 C:KJ982,S:AJ3 H:A87 D:QJT5 C:QT7,S:9754 H:QT53 D:K72 C:43,auction_calm
Bidpractice/Set1,4,S:AK52 H:872 D:943 C:765,S:873 H:QT94 D:T76 C:KQJ,S:J96 H:AJ5 D:AQJ C:A932,S:QT4 H:K63 D:K852 C:T84,auction_calm
Bidpractice/Set1,5,S:KQJ H:QJ95 D:AJ8 C:QJT,S:754 H:T6 D:QT952 C:A64,S:T863 H:K42 D:K43 C:K75,S:A92 H:A873 D:76 C:9832,auction_calm
Bidpractice/Set1,6,S:T84 H:K72 D:Q65 C:KJ93,S:J52 H:T985 D:T87 C:A76,S:A976 H:AQ4 D:AJ4 C:QT8,S:KQ3 H:J63 D:K932 C:542,auction_calm
Bidpractice/Set1,7,S:AT6 H:K98 D:AJ2 C:KT95,S:873 H:JT64 D:Q76 C:AQJ,S:KQ42 H:A73 D:T84 C:874,S:J95 H:Q52 D:K953 C:632,auction_calm
Bidpractice/Set1,8,S:J742 H:85 D:J42 C:9873,S:983 H:Q974 D:T873 C:AQ,S:KQ6 H:AJT3 D:AQ C:KJ52,S:AT5 H:K62 D:K965 C:T64,auction_calm
Bidpractice/Set1,9,S:AT8 H:AT9 D:KQT8 C:K97,S:Q642 H:63 D:A732 C:652,S:K73 H:Q72 D:J94 C:QJT8,S:J95 H:KJ854 D:65 C:A43,auction_calm
Bidpractice/Set1,10,S:T962 H:K75 D:954 C:KQ6,S:753 H:JT96 D:A76 C:T98,S:KQJ H:A4 D:KQT8 C:AJ73,S:A84 H:Q832 D:J32 C:542,auction_calm
Bidpractice/Set1,11,S:KQ4 H:Q95 D:KQ62 C:K83,S:765 H:A742 D:T743 C:96,S:AT8 H:KJ3 D:AJ5 C:QJ72,S:J932 H:T86 D:98 C:AT54,auction_calm
Bidpractice/Set1,12,S:T84 H:Q76 D:KJ3 C:KT52,S:KJ632 H:J93 D:984 C:J6,S:AQ5 H:K85 D:QT76 C:A97,S:97 H:AT42 D:A52 C:Q843,auction_calm
Bidpractice/Set1,13,S:QJ4 H:AK D:K76 C:QJT52,S:873 H:JT972 D:T92 C:98,S:KT5 H:Q63 D:AQ54 C:AK3,S:A962 H:854 D:J83 C:764,auction_calm
Bidpractice/Set1,14,S:K74 H:QJ5 D:KJT C:A743,S:863 H:T974 D:976 C:JT9,S:QJ9 H:AK8 D:AQ53 C:KQ8,S:AT52 H:632 D:842 C:652,auction_calm
Bidpractice/Set1,15,S:AT6 H:AQ4 D:KQJT C:KJ7,S:K942 H:72 D:972 C:AT82,S:853 H:K96 D:A863 C:965,S:QJ7 H:JT853 D:54 C:Q43,auction_calm
Bidpractice/Set1,16,S:764 H:AK8 D:KQ C:AJT74,S:T93 H:QJ95 D:T65 C:986,S:AK5 H:T743 D:A982 C:KQ,S:QJ82 H:62 D:J743 C:532,auction_calm
Bidpractice/Set1,17,S:KJ9 H:AQ D:KQJ95 C:KT4,S:874 H:KJ962 D:86 C:AJ7,S:T63 H:T85 D:A73 C:Q985,S:AQ52 H:743 D:T42 C:632,auction_calm
Bidpractice/Set1,18,S:KJ92 H:A98 D:QT8 C:KQJ,S:764 H:J753 D:J65 C:A98,S:QT3 H:KT6 D:A94 C:T752,S:A85 H:Q42 D:K732 C:643,auction_calm
Bidpractice/Set1,19,S:KQ93 H:KQT D:AJ7 C:QT8,S:654 H:962 D:Q9543 C:53,S:A7 H:A84 D:KT6 C:KJ742,S:JT82 H:J753 D:82 C:A96,auction_calm
Bidpractice/Set1,20,S:K8 H:AK5 D:A8 C:QT9632,S:T952 H:JT72 D:T943 C:A,S:A74 H:Q96 D:KQ52 C:KJ8,S:QJ63 H:843 D:J76 C:754,auction_calm
Bidpractice/Set1,21,S:QJT H:AJ7 D:AK62 C:KQJ,S:A54 H:QT8 D:QJT5 C:643,S:K83 H:9652 D:743 C:852,S:9762 H:K43 D:98 C:AT97,auction_calm
Bidpractice/Set1,22,S:K53 H:K53 D:K53 C:K753,S:QT987 H:T7 D:QT8 C:JT8,S:A42 H:A42 D:A642 C:A42,S:J6 H:QJ986 D:J97 C:Q96,auction_calm
Bidpractice/Set1,23,S:AJ5 H:QT93 D:KQJ C:AK6,S:Q9864 H:72 D:963 C:753,S:K72 H:KJ5 D:A742 C:QJ8,S:T3 H:A864 D:T85 C:T942,auction_calm
Bidpractice/Set1,24,S:AK6 H:K93 D:K743 C:A62,S:J9843 H:T5 D:AT8 C:JT8,S:Q75 H:Q84 D:Q62 C:Q753,S:T2 H:AJ762 D:J95 C:K94,auction_calm
Bidpractice/Set10,1,S:AKJ74 H:87 D:A76 C:Q54,S:T53 H:T6 D:QJ832 C:KT7,S:Q962 H:952 D:K9 C:9862,S:8 H:AKQJ43 D:T54 C:AJ3,auction_1h
Bidpractice/Set10,2,S:Q962 H:T52 D:KQ4 C:KJ6,S:8 H:AKQJ63 D:J83 C:T83,S:AKJ74 H:87 D:A76 C:Q54,S:T53 H:94 D:T952 C:A972,auction_1h
Bidpractice/Set10,3,S:AKJ74 H:87 D:976 C:J54,S:T53 H:96 D:QJ832 C:Q97,S:Q962 H:T52 D:AK C:K862,S:8 H:AKQJ43 D:T54 C:AT3,auction_1h
Bidpractice/Set10,4,S:AT53 H:T75 D:Q8 C:A862,S:QJ72 H:AKJ96 D:T92 C:4,S:K986 H:4 D:AK73 C:KQ75,S:4 H:Q832 D:J654 C:JT93,auction_1h
Bidpractice/Set10,5,S:53 H:AJ42 D:KQJ C:K742,S:A H:QT9 D:AT973 C:QT53,S:7642 H:763 D:864 C:J98,S:KQJT98 H:K85 D:52 C:A6,auction_1s
Bidpractice/Set10,6,S:AJT7 H:J7 D:QJ95 C:A83,S:K632 H:A84 D:T8 C:KJ76,S:Q985 H:KQT5 D:AK3 C:42,S:4 H:9632 D:7642 C:QT95,auction_1c
Bidpractice/Set10,7,S:Q74 H:9652 D:Q5 C:A863,S:T52 H:T8 D:T972 C:KJ94,S:AKJ983 H:7 D:AKJ3 C:75,S:6 H:AKQJ43 D:864 C:QT2,auction_1h
Bidpractice/Set10,8,S:87 H:A976 D:A62 C:K963,S:KQ6542 H:J2 D:KJT5 C:J,S:AJ9 H:KQ8 D:Q74 C:AQ85,S:T3 H:T543 D:983 C:T742,auction_1s
Bidpractice/Set10,9,S:A86 H:KQJ D:AJ97 C:KQ4,S:K94 H:T853 D:Q32 C:T32,S:JT52 H:7642 D:86 C:J86,S:Q73 H:A9 D:KT54 C:A975,auction_1d
Bidpractice/Set10,10,S:KJ62 H:65 D:AQ3 C:9874,S:A953 H:KJ874 D:8 C:QJ2,S:Q74 H:AQT D:KJ75 C:AK6,S:T8 H:932 D:T9642 C:T53,auction_1h
Bidpractice/Set10,11,S:AQT53 H:64 D:QT C:A974,S:86 H:JT7 D:765 C:KT653,S:KJ42 H:A85 D:KJ32 C:J2,S:97 H:KQ932 D:A984 C:Q8,auction_1h
Bidpractice/Set10,12,S:Q3 H:KQ9864 D:A52 C:95,S:A97 H:A2 D:KQT43 C:T42,S:KJ64 H:JT75 D:6 C:AKJ3,S:T852 H:3 D:J987 C:Q876,auction_1d
Bidpractice/Set10,13,S:AT94 H:KQJ7 D:Q6 C:AQ4,S:8532 H:863 D:752 C:987,S:J76 H:T52 D:AJ94 C:KT2,S:KQ H:A94 D:KT83 C:J653,auction_1d
Bidpractice/Set10,14,S:Q8 H:AJ92 D:AJ6 C:Q983,S:5 H:KT843 D:Q2 C:AK652,S:AK964 H:Q5 D:K74 C:JT7,S:JT732 H:76 D:T9853 C:4,auction_1h
Bidpractice/Set10,15,S:87 H:KQ97 D:AK83 C:QJ4,S:542 H:82 D:9762 C:7532,S:A93 H:JT53 D:Q5 C:AK86,S:KQJT6 H:A64 D:JT4 C:T9,auction_1s
Bidpractice/Set10,16,S:K75 H:852 D:KQ3 C:9762,S:9 H:KQJT63 D:A85 C:QT4,S:AQJ642 H:A7 D:J72 C:A8,S:T83 H:94 D:T964 C:KJ53,auction_1h
Bidpractice/Set10,17,S:K983 H:76 D:KQ5 C:AJ76,S:7654 H:T95 D:T962 C:T9,S:QJ2 H:AK43 D:74 C:KQ82,S:AT H:QJ82 D:AJ83 C:543,auction_1d
Bidpractice/Set10,18,S:96 H:Q65 D:J754 C:KT62,S:KQ532 H:J92 D:K2 C:Q74,S:AJT74 H:A73 D:A86 C:95,S:8 H:KT84 D:QT93 C:AJ83,auction_1s
Bidpractice/Set10,19,S:KQJ9753 H:74 D:Q3 C:62,S:6 H:KQT96 D:AJ52 C:QT8,S:A82 H:J52 D:K986 C:753,S:T4 H:A83 D:T74 C:AKJ94,auction_1c
Bidpractice/Set10,20,S:K72 H:QJ54 D:63 C:9864,S:Q643 H:A8 D:K94 C:AJT5,S:AJT85 H:63 D:AJT85 C:3,S:9 H:KT972 D:Q72 C:KQ72,auction_1c
Bidpractice/Set10,21,S:A53 H:42 D:AK2 C:J7642,S:42 H:AJ7 D:JT75 C:QT93,S:Q86 H:Q863 D:9843 C:85,S:KJT97 H:KT95 D:Q6 C:AK,auction_1s
Bidpractice/Set10,22,S:T3 H:KJ76 D:KJ5 C:AQ72,S:A9765 H:A85 D:A C:J965,S:KQJ842 H:Q2 D:Q87 C:83,S: H:T943 D:T96432 C:KT4,auction_1s
Bidpractice/Set10,23,S:AK872 H:J98 D:K76 C:65,S:9643 H:T63 D:32 C:QT98,S:QJ5 H:AKQ2 D:A985 C:42,S:T H:754 D:QJT4 C:AKJ73,auction_1c
Bidpractice/Set10,24,S:T65 H:84 D:KJT3 C:AJ84,S:A97 H:A976 D:A42 C:Q32,S:KQ3 H:KQJ53 D:965 C:T6,S:J842 H:T2 D:Q87 C:K975,auction_1d
Bidpractice/Set11,1,S:AKJ7 H:87 D:976 C:KQ54,S:T54 H:96 D:AKJ32 C:T87,S:Q962 H:AK53 D:84 C:A62,S:83 H:QJT42 D:QT5 C:J93,auction_1c_1d
Bidpractice/Set11,2,S:AK62 H:AT93 D:97 C:Q82,S:T543 H:K542 D:T85 C:75,S:Q97 H:J87 D:AK6 C:KJT4,S:J8 H:Q6 D:QJ432 C:A963,auction_1c_1d
Bidpractice/Set11,3,S:AKJ7 H:87 D:976 C:KQ54,S:843 H:T6 D:AKQ532 C:T7,S:Q962 H:AK5 D:84 C:A632,S:T5 H:QJ9432 D:JT C:J98,auction_1c_1d
Bidpractice/Set11,4,S:K9 H:862 D:AK63 C:KQ75,S:J76 H:7 D:T542 C:T6432,S:AT532 H:AJT D:987 C:A8,S:Q84 H:KQ9543 D:QJ C:J9,auction_1s_2h
Bidpractice/Set11,5,S:9 H:KQJ7 D:AK6 C:AQT54,S:AQJ75 H:T3 D:J95 C:J97,S:T86 H:A9642 D:84 C:K62,S:K432 H:85 D:QT732 C:83,auction_1c_1s
Bidpractice/Set11,6,S:AK62 H:93 D:972 C:Q982,S:Q8543 H:T4 D:QT5 C:A75,S:T97 H:K87 D:AK6 C:KJT4,S:J H:AQJ652 D:J843 C:63,auction_1c_1h
Bidpractice/Set11,7,S:AK632 H:93 D:972 C:Q92,S:J854 H:A62 D:J84 C:875,S:Q97 H:J87 D:AK6 C:KJT4,S:T H:KQT54 D:QT53 C:A63,auction_1c_1h
Bidpractice/Set11,8,S:A52 H:AQT93 D:97 C:AJ2,S:KJT86 H:6 D:AT53 C:875,S:97 H:K874 D:KQ6 C:KT94,S:Q43 H:J52 D:J842 C:Q63,auction_1h_1s
Bidpractice/Set11,9,S:852 H:AQT93 D:97 C:AQ2,S:AQJT6 H:6 D:AQ53 C:875,S:97 H:K874 D:T86 C:KT94,S:K43 H:J52 D:KJ42 C:J63,auction_1h_1s
Bidpractice/Set11,10,S:Q862 H:AK93 D:97 C:A82,S:4 H:JT7 D:AKQ82 C:Q753,S:AK973 H:64 D:63 C:KJT4,S:JT5 H:Q852 D:JT54 C:96,auction_1d
Bidpractice/Set11,11,S:Q862 H:AK93 D:97 C:A82,S:JT54 H:Q8 D:AKJT54 C:J,S:AK973 H:654 D:Q3 C:763,S: H:JT72 D:862 C:KQT954,auction_1d
Bidpractice/Set11,12,S:Q75 H:QJ93 D:AT82 C:Q8,S:T642 H:42 D:95 C:T9532,S:8 H:AKT87 D:KQJ4 C:AK6,S:AKJ93 H:65 D:763 C:J74,auction_1h_1s
Bidpractice/Set11,13,S:KQJ7 H:T7 D:A976 C:AT4,S:A9854 H:84 D:KT3 C:Q75,S:62 H:AQJ3 D:J84 C:J982,S:T3 H:K9652 D:Q52 C:K63,auction_1d_1s
Bidpractice/Set11,14,S:AK642 H:93 D:T97 C:982,S:53 H:64 D:Q32 C:AQJ653,S:Q97 H:J87 D:AK86 C:KT4,S:JT8 H:AKQT52 D:J54 C:7,auction_1d_1h
Bidpractice/Set11,15,S:AJ7 H:K987 D:KQ76 C:54,S:Q8 H:J64 D:A5 C:KQJT98,S:K962 H:AQ53 D:84 C:A62,S:T543 H:T2 D:JT932 C:73,auction_1d_2c
Bidpractice/Set11,16,S:AK82 H:963 D:JT C:8653,S:43 H:T4 D:K432 C:AQ742,S:QJ75 H:87 D:AQ86 C:KJT,S:T96 H:AKQJ52 D:975 C:9,auction_1d_1h
Bidpractice/Set11,16,S:AK82 H:963 D:JT C:8653,S:T943 H:KJ4 D:K542 C:74,S:QJ75 H:87 D:AQ86 C:KJT,S:6 H:AQT52 D:973 C:AQ92,auction_1d_1h_x_2h
Bidpractice/Set11,17,S:T2 H:KQJ76 D:AQ5 C:963,S:AQ97643 H: D:J43 C:A74,S:J85 H:AT84 D:K9 C:KQJ2,S:K H:9532 D:T8762 C:T85,auction_1h_1s
Bidpractice/Set11,18,S:862 H:63 D:KQ97 C:AQ82,S:KT H:Q942 D:AJ8 C:9763,S:97 H:AKJ87 D:43 C:KJT4,S:AQJ543 H:T5 D:T652 C:5,auction_1h_2s
Bidpractice/Set11,19,S:AQJ752 H:AKQ7 D:K2 C:8,S: H:J832 D:QJ8763 C:AKT,S:KT93 H:65 D:A4 C:QJ652,S:864 H:T94 D:T95 C:9743,auction_1s_2d
Bidpractice/Set11,20,S:8 H:AJ93 D:KQ52 C:QJ82,S:QT4 H:65 D:A976 C:9763,S:953 H:KQ87 D:J3 C:AK54,S:AKJ762 H:T42 D:T84 C:T,auction_1c_2s
Bidpractice/Set11,21,S:QJ83 H:87 D:A76 C:KQJ4,S:A72 H:KT96543 D:Q9 C:5,S:KT65 H:J2 D:K54 C:A632,S:94 H:AQ D:JT832 C:T987,auction_1c_1h
Bidpractice/Set11,22,S:A5 H:KQJ82 D:742 C:Q82,S:Q64 H:T D:QJT3 C:T9753,S:972 H:A63 D:86 C:AKJ64,S:KJT83 H:9754 D:AK95 C:,auction_1c_1s
Bidpractice/Set11,23,S:K9 H:AQJ96 D:T54 C:A83,S:A62 H:84 D:K3 C:KQJ972,S:QJ5 H:KT53 D:AJ62 C:64,S:T8743 H:72 D:Q987 C:T5,auction_1h_2c
Bidpractice/Set11,24,S:AQJ3 H:J4 D:9642 C:T96,S:97 H:8752 D:J7 C:K8543,S:T5 H:AKQ63 D:AT8 C:AJ7,S:K8642 H:T9 D:KQ53 C:Q2,auction_1h_1s
Bidpractice/Set12,1,S:A73 H:QJT82 D:K86 C:Q4,S:T8 H:A73 D:QJT74 C:JT2,S:KQJ42 H:K5 D:A52 C:753,S:965 H:964 D:93 C:AK986,auction_calm
Bidpractice/Set12,2,S:J84 H:KQ84 D:Q52 C:763,S:AQ973 H:T3 D:T763 C:T9,S:K5 H:AJ962 D:AK C:J852,S:T62 H:75 D:J984 C:AKQ4,auction_calm
Bidpractice/Set12,3,S:AJ762 H:KT94 D:KQ6 C:4,S:Q93 H:J32 D:AT75 C:T92,S:K8 H:Q85 D:J84 C:AKJ73,S:T54 H:A76 D:932 C:Q865,auction_calm
Bidpractice/Set12,4,S:Q9652 H:763 D:AQ C:Q84,S:AJ3 H:J842 D:J76 C:J92,S:87 H:AQ5 D:KT943 C:KT7,S:KT4 H:KT9 D:852 C:A653,auction_calm
Bidpractice/Set12,5,S:AKT62 H:A43 D:K964 C:7,S:9 H:KQ9862 D:5 C:KJT98,S:Q543 H:75 D:AJT3 C:652,S:J87 H:JT D:Q872 C:AQ43,auction_calm
Bidpractice/Set12,6,S:QJ83 H:AQJ7 D:J9 C:KT2,S:K7642 H:K92 D:53 C:Q74,S:AT5 H:T4 D:KQ74 C:A863,S:9 H:8653 D:AT862 C:J95,auction_calm
Bidpractice/Set12,7,S:K64 H:KQ974 D:4 C:AJ65,S:83 H:32 D:KQT752 C:K82,S:AQ972 H:85 D:A96 C:QT4,S:JT5 H:AJT6 D:J83 C:973,auction_calm
Bidpractice/Set12,8,S:AK763 H:KT84 D:K4 C:52,S:J42 H:532 D:J62 C:QJT9,S:85 H:QJ97 D:AQ9 C:A843,S:QT9 H:A6 D:T8753 C:K76,auction_calm
Bidpractice/Set12,9,S:K942 H:8 D:87542 C:Q97,S:6 H:AKT943 D:Q9 C:JT65,S:AQJT7 H:765 D:3 C:AK84,S:853 H:QJ2 D:AKJT6 C:32,auction_calm
Bidpractice/Set12,10,S:AJ75 H:K6 D:874 C:AJT3,S:84 H:T832 D:J95 C:KQ72,S:KT H:A9754 D:KQ62 C:96,S:Q9632 H:QJ D:AT3 C:854,auction_calm
Bidpractice/Set12,11,S:A7 H:QT976 D:Q7 C:AT96,S:KT52 H:54 D:AJ95 C:QJ3,S:J83 H:A832 D:K864 C:72,S:Q964 H:KJ D:T32 C:K854,auction_calm
Bidpractice/Set12,12,S:KQT63 H:KQJ8 D:95 C:Q8,S:J7 H:432 D:A87 C:T7654,S:84 H:AT7 D:QT643 C:AK2,S:A952 H:965 D:KJ2 C:J93,auction_calm
