Subfolder,Deal,Seat,Bid,BidSequence,NorthHand,EastHand,SouthHand,WestHand
Bidpractice/Set1,22,West,Calm,Calm,S:K53 H:K53 D:K53 C:K753,,S:A42 H:A42 D:A642 C:A42,
Bidpractice/Set1,23,West,Calm,Calm,S:AJ5 H:QT93 D:KQJ C:AK6,,S:K72 H:KJ5 D:A742 C:QJ8,
Bidpractice/Set1,24,West,Calm,Calm,S:AK6 H:K93 D:K743 C:A62,,S:Q75 H:Q84 D:Q62 C:Q753,
Bidpractice/Set10,1,West,1H,1H,S:AKJ74 H:87 D:A76 C:Q54,,S:Q962 H:952 D:K9 C:9862,
Bidpractice/Set10,2,East,1H,1H,S:Q962 H:T52 D:KQ4 C:KJ6,,S:AKJ74 H:87 D:A76 C:Q54,
Bidpractice/Set10,3,West,1H,1H,S:AKJ74 H:87 D:976 C:J54,,S:Q962 H:T52 D:AK C:K862,
Bidpractice/Set10,4,East,1H,1H,S:AT53 H:T75 D:Q8 C:A862,,S:K986 H:4 D:AK73 C:KQ75,
Bidpractice/Set10,5,West,1S,1S,S:53 H:AJ42 D:KQJ C:K742,,S:7642 H:763 D:864 C:J98,
Bidpractice/Set10,6,East,1C,1C,S:AJT7 H:J7 D:QJ95 C:A83,,S:Q985 H:KQT5 D:AK3 C:42,
Bidpractice/Set10,7,West,1H,1H,S:Q74 H:9652 D:Q5 C:A863,,S:AKJ983 H:7 D:AKJ3 C:75,
Bidpractice/Set10,8,East,1S,1S,S:87 H:A976 D:A62 C:K963,,S:AJ9 H:KQ8 D:Q74 C:AQ85,
Bidpractice/Set10,9,West,1D,1D,S:A86 H:KQJ D:AJ97 C:KQ4,,S:JT52 H:7642 D:86 C:J86,
Bidpractice/Set10,10,East,1H,1H,S:KJ62 H:65 D:AQ3 C:9874,,S:Q74 H:AQT D:KJ75 C:AK6,
Bidpractice/Set10,11,West,1H,1H,S:AQT53 H:64 D:QT C:A974,,S:KJ42 H:A85 D:KJ32 C:J2,
Bidpractice/Set10,12,East,1D,1D,S:Q3 H:KQ9864 D:A52 C:95,,S:KJ64 H:JT75 D:6 C:AKJ3,
Bidpractice/Set10,13,West,1D,1D,S:AT94 H:KQJ7 D:Q6 C:AQ4,,S:J76 H:T52 D:AJ94 C:KT2,
Bidpractice/Set10,14,East,1H,1H,S:Q8 H:AJ92 D:AJ6 C:Q983,,S:AK964 H:Q5 D:K74 C:JT7,
Bidpractice/Set10,15,West,1S,1S,S:87 H:KQ97 D:AK83 C:QJ4,,S:A93 H:JT53 D:Q5 C:AK86,
Bidpractice/Set10,16,East,1H,1H,S:K75 H:852 D:KQ3 C:9762,,S:AQJ642 H:A7 D:J72 C:A8,
Bidpractice/Set10,17,West,1D,1D,S:K983 H:76 D:KQ5 C:AJ76,,S:QJ2 H:AK43 D:74 C:KQ82,
Bidpractice/Set10,18,East,1S,1S,S:96 H:Q65 D:J754 C:KT62,,S:AJT74 H:A73 D:A86 C:95,
Bidpractice/Set10,19,West,1C,1C,S:KQJ9753 H:74 D:Q3 C:62,,S:A82 H:J52 D:K986 C:753,
Bidpractice/Set10,20,East,1C,1C,S:K72 H:QJ54 D:63 C:9864,,S:AJT85 H:63 D:AJT85 C:3,
Bidpractice/Set10,21,West,1S,1S,S:A53 H:42 D:AK2 C:J7642,,S:Q86 H:Q863 D:9843 C:85,
Bidpractice/Set10,22,East,1S,1S,S:T3 H:KJ76 D:KJ5 C:AQ72,,S:KQJ842 H:Q2 D:Q87 C:83,
Bidpractice/Set10,23,West,1C,1C,S:AK872 H:J98 D:K76 C:65,,S:QJ5 H:AKQ2 D:A985 C:42,
Bidpractice/Set10,24,East,1D,1D,S:T65 H:84 D:KJT3 C:AJ84,,S:KQ3 H:KQJ53 D:965 C:T6,
Bidpractice/Set11,1,East,1D,1C-1D,S:AKJ7 H:87 D:976 C:KQ54,,S:Q962 H:AK53 D:84 C:A62,
Bidpractice/Set11,2,West,1D,1C-1D,S:AK62 H:AT93 D:97 C:Q82,,S:Q97 H:J87 D:AK6 C:KJT4,
Bidpractice/Set11,3,East,1D,1C-1D,S:AKJ7 H:87 D:976 C:KQ54,,S:Q962 H:AK5 D:84 C:A632,
Bidpractice/Set11,4,West,2H,1S-2H,S:K9 H:862 D:AK63 C:KQ75,,S:AT532 H:AJT D:987 C:A8,
Bidpractice/Set11,5,East,1S,1C-1S,S:9 H:KQJ7 D:AK6 C:AQT54,,S:T86 H:A9642 D:84 C:K62,
Bidpractice/Set11,6,West,1H,1C-1H,S:AK62 H:93 D:972 C:Q982,,S:T97 H:K87 D:AK6 C:KJT4,
Bidpractice/Set11,7,West,1H,1C-1H,S:AK632 H:93 D:972 C:Q92,,S:Q97 H:J87 D:AK6 C:KJT4,
Bidpractice/Set11,8,East,1S,1H-1S,S:A52 H:AQT93 D:97 C:AJ2,,S:97 H:K874 D:KQ6 C:KT94,
Bidpractice/Set11,9,East,1S,1H-1S,S:852 H:AQT93 D:97 C:AQ2,,S:97 H:K874 D:T86 C:KT94,
Bidpractice/Set11,10,East,1D,1D,S:Q862 H:AK93 D:97 C:A82,,S:AK973 H:64 D:63 C:KJT4,
Bidpractice/Set11,11,East,1D,1D,S:Q862 H:AK93 D:97 C:A82,,S:AK973 H:654 D:Q3 C:763,
Bidpractice/Set11,12,West,1S,1H-1S,S:Q75 H:QJ93 D:AT82 C:Q8,,S:8 H:AKT87 D:KQJ4 C:AK6,
Bidpractice/Set11,13,East,1S,1D-1S,S:KQJ7 H:T7 D:A976 C:AT4,,S:62 H:AQJ3 D:J84 C:J982,
Bidpractice/Set11,14,West,1H,1D-1H,S:AK642 H:93 D:T97 C:982,,S:Q97 H:J87 D:AK86 C:KT4,
Bidpractice/Set11,15,East,2C,1D-2C,S:AJ7 H:K987 D:KQ76 C:54,,S:K962 H:AQ53 D:84 C:A62,
Bidpractice/Set11,16,West,1H,1D-1H,S:AK82 H:963 D:JT C:8653,,S:QJ75 H:87 D:AQ86 C:KJT,
Bidpractice/Set11,16,East,2H,1D-1H-X-2H,S:AK82 H:963 D:JT C:8653,,S:QJ75 H:87 D:AQ86 C:KJT,
Bidpractice/Set11,17,East,1S,1H-1S,S:T2 H:KQJ76 D:AQ5 C:963,,S:J85 H:AT84 D:K9 C:KQJ2,
Bidpractice/Set11,18,West,2S,1H-2S,S:862 H:63 D:KQ97 C:AQ82,,S:97 H:AKJ87 D:43 C:KJT4,
Bidpractice/Set11,19,East,2D,1S-2D,S:AQJ752 H:AKQ7 D:K2 C:8,,S:KT93 H:65 D:A4 C:QJ652,
Bidpractice/Set11,20,West,2S,1C-2S,S:8 H:AJ93 D:KQ52 C:QJ82,,S:953 H:KQ87 D:J3 C:AK54,
Bidpractice/Set11,21,East,1H,1C-1H,S:QJ83 H:87 D:A76 C:KQJ4,,S:KT65 H:J2 D:K54 C:A632,
Bidpractice/Set11,22,West,1S,1C-1S,S:A5 H:KQJ82 D:742 C:Q82,,S:972 H:A63 D:86 C:AKJ64,
Bidpractice/Set11,23,East,2C,1H-2C,S:K9 H:AQJ96 D:T54 C:A83,,S:QJ5 H:KT53 D:AJ62 C:64,
Bidpractice/Set11,24,West,1S,1H-1S,S:AQJ3 H:J4 D:9642 C:T96,,S:T5 H:AKQ63 D:AT8 C:AJ7,
Bidpractice/Set12,1,West,Calm,Calm,S:A73 H:QJT82 D:K86 C:Q4,,S:KQJ42 H:K5 D:A52 C:753,
Bidpractice/Set12,2,West,Calm,Calm,S:J84 H:KQ84 D:Q52 C:763,,S:K5 H:AJ962 D:AK C:J852,
Bidpractice/Set12,3,West,Calm,Calm,S:AJ762 H:KT94 D:KQ6 C:4,,S:K8 H:Q85 D:J84 C:AKJ73,
Bidpractice/Set12,4,West,Calm,Calm,S:Q9652 H:763 D:AQ C:Q84,,S:87 H:AQ5 D:KT943 C:KT7,
Bidpractice/Set12,5,West,Calm,Calm,S:AKT62 H:A43 D:K964 C:7,,S:Q543 H:75 D:AJT3 C:652,
Bidpractice/Set12,6,West,Calm,Calm,S:QJ83 H:AQJ7 D:J9 C:KT2,,S:AT5 H:T4 D:KQ74 C:A863,
Bidpractice/Set12,7,West,Calm,Calm,S:K64 H:KQ974 D:4 C:AJ65,,S:AQ972 H:85 D:A96 C:QT4,
Bidpractice/Set12,8,West,Calm,Calm,S:AK763 H:KT84 D:K4 C:52,,S:85 H:QJ97 D:AQ9 C:A843,
Bidpractice/Set12,9,West,Calm,Calm,S:K942 H:8 D:87542 C:Q97,,S:AQJT7 H:765 D:3 C:AK84,
Bidpractice/Set12,10,West,Calm,Calm,S:AJ75 H:K6 D:874 C:AJT3,,S:KT H:A9754 D:KQ62 C:96,
Bidpractice/Set12,11,West,Calm,Calm,S:A7 H:QT976 D:Q7 C:AT96,,S:J83 H:A832 D:K864 C:72,
Bidpractice/Set12,12,West,Calm,Calm,S:KQT63 H:KQJ8 D:95 C:Q8,,S:84 H:AT7 D:QT643 C:AK2,
Bidpractice/Set12,13,West,Calm,Calm,S:AJ H:KQJ84 D:A5 C:J542,,S:K53 H:T953 D:9864 C:KQ,
Bidpractice/Set12,14,West,Calm,Calm,S:985 H:J74 D:KQT3 C:AK5,,S:AJT H:AQT3 D:94 C:QJ64,
Bidpractice/Set12,15,West,Calm,Calm,S:Q75 H:JT76 D:A8 C:KQJ3,,S:K8432 H:KQ83 D:73 C:A5,
Bidpractice/Set12,16,West,Calm,Calm,S:KJ97 H:87 D:AKJ62 C:T2,,S:QT83 H:AK65 D:T C:A984,
Bidpractice/Set12,17,West,Calm,Calm,S:A64 H:AK972 D:7 C:K865,,S:97 H:Q653 D:T83 C:AJ72,
Bidpractice/Set12,18,West,Calm,Calm,S:Q6 H:KJ85 D:A9854 C:K8,,S:KJT5 H:T96 D:K7 C:AQJ3,
Bidpractice/Set12,19,West,Calm,Calm,S:Q54 H:76 D:AK98 C:A874,,S:AKT63 H:KQ985 D:63 C:5,
Bidpractice/Set12,20,West,Calm,Calm,S:K76 H:KJ873 D:A94 C:92,,S:Q85 H:A5 D:KQJ62 C:643,
Bidpractice/Set12,21,West,Calm,Calm,S:84 H:AK943 D:AJ96 C:75,,S:AQJ63 H:QJ5 D:K4 C:T92,
Bidpractice/Set12,22,West,Calm,Calm,S:Q93 H:7642 D:KT82 C:Q5,,S:AKJ86 H:J53 D:3 C:AK63,
Bidpractice/Set12,23,West,Calm,Calm,S:K95 H:KJ2 D:A963 C:Q64,,S:AJ862 H:Q93 D:K74 C:85,
Bidpractice/Set12,24,West,Calm,Calm,S:KT7 H:AK652 D:J98 C:Q5,,S:A95 H:T4 D:KQ74 C:KJ63,
Bidpractice/Set2,1,West,Calm,Calm,S:A5 H:KQT97 D:KQ6 C:QJ4,,S:K763 H:J42 D:974 C:865,
Bidpractice/Set2,2,West,Calm,Calm,S:K82 H:K543 D:86 C:9832,,S:QJ964 H:A9 D:K74 C:KQJ,
Bidpractice/Set2,3,West,Calm,Calm,S:Q75 H:KJ74 D:J942 C:J8,,S:AJ9642 H:83 D:A6 C:Q54,
Bidpractice/Set2,4,West,Calm,Calm,S:J65 H:KT75 D:A8 C:9862,,S:AK H:QJ8642 D:KQ3 C:75,
Bidpractice/Set2,5,West,Calm,Calm,S:T92 H:AK542 D:85 C:AKQ,,S:764 H:Q763 D:AJ4 C:985,
Bidpractice/Set2,6,West,Calm,Calm,S:KJ874 H:K72 D:A95 C:AQ,,S:A63 H:9853 D:8643 C:92,
Bidpractice/Set2,7,West,Calm,Calm,S:KQJ54 H:A7 D:KQ5 C:J86,,S:T963 H:KQ4 D:9642 C:A7,
Bidpractice/Set2,8,West,Calm,Calm,S:872 H:Q964 D:K62 C:AQ3,,S:KJ6 H:KJ852 D:A74 C:85,
Bidpractice/Set2,9,West,Calm,Calm,S:QJ H:J854 D:A983 C:QJ7,,S:863 H:AKQ72 D:K6 C:T95,
Bidpractice/Set2,10,West,Calm,Calm,S:J962 H:KQ75 D:83 C:T74,,S:KQT73 H:A42 D:975 C:A6,
Bidpractice/Set2,11,West,Calm,Calm,S:AQ753 H:KQ D:A876 C:94,,S:K642 H:J85 D:K32 C:A62,
Bidpractice/Set2,12,West,Calm,Calm,S:AKQ7 H:743 D:852 C:Q95,,S:JT864 H:A6 D:AK6 C:KJ3,
Bidpractice/Set2,13,West,Calm,Calm,S:K5 H:QJT83 D:KQJ C:962,,S:A64 H:K952 D:7653 C:AK,
Bidpractice/Set2,14,West,Calm,Calm,S:KQ92 H:QJ D:Q764 C:J84,,S:AJT874 H:AK5 D:AK3 C:9,
Bidpractice/Set2,15,West,Calm,Calm,S:A7652 H:76 D:A83 C:AJ4,,S:JT943 H:A53 D:9 C:K863,
Bidpractice/Set2,16,West,Calm,Calm,S:94 H:AK52 D:KJ3 C:K962,,S:A87 H:T9863 D:A62 C:A8,
Bidpractice/Set2,17,West,Calm,Calm,S:K9 H:AKJ65 D:AT5 C:A76,,S:Q82 H:Q843 D:K74 C:KQ2,
Bidpractice/Set2,18,West,Calm,Calm,S:AJ653 H:JT9 D:AQ54 C:6,,S:Q98742 H:KQ3 D:86 C:95,
Bidpractice/Set2,19,West,Calm,Calm,S:AQ9753 H:Q7 D:AK3 C:K2,,S:JT82 H:K52 D:86 C:Q763,
Bidpractice/Set2,20,West,Calm,Calm,S:J8 H:KQ54 D:9753 C:T64,,S:A74 H:AJ872 D:KQJ C:A3,
Bidpractice/Set2,21,West,Calm,Calm,S:A H:KQ98742 D:KQ C:K42,,S:J863 H:63 D:J843 C:875,
Bidpractice/Set2,22,West,Calm,Calm,S:J842 H:976 D:QJ C:AK72,,S:KQT65 H:KQ2 D:K87 C:83,
Bidpractice/Set2,23,West,Calm,Calm,S:KJ872 H:A98 D:KQJ C:65,,S:T953 H:KJ2 D:A5 C:K742,
Bidpractice/Set2,24,West,Calm,Calm,S:A6 H:AQ87642 D:A3 C:42,,S:543 H:K53 D:T65 C:QJ85,
Bidpractice/Set3,1,West,Calm,Calm,S:J6 H:KQT832 D:A7 C:AK3,,S:KQ3 H:J964 D:862 C:965,
Bidpractice/Set3,2,West,Calm,Calm,S:T97 H:A96 D:KQ73 C:K84,,S:AQ4 H:KT8 D:JT95 C:AJ6,
Bidpractice/Set3,3,West,Calm,Calm,S:QJ64 H:A95 D:82 C:AK63,,S:KT73 H:K6 D:T754 C:852,
Bidpractice/Set3,4,West,Calm,Calm,S:75 H:T984 D:K94 C:K852,,S:QJ6 H:AKQ72 D:A53 C:64,
Bidpractice/Set3,5,West,Calm,Calm,S:A832 H:KT9 D:AJ7 C:KQ6,,S:T94 H:QJ4 D:KQ52 C:J95,
Bidpractice/Set3,6,West,Calm,Calm,S:KJ84 H:AK72 D:65 C:K93,,S:AQT6 H:54 D:A874 C:A82,
Bidpractice/Set3,7,West,Calm,Calm,S:KQT84 H:A7 D:KQ5 C:QT6,,S:A963 H:Q64 D:A962 C:J7,
Bidpractice/Set3,8,West,Calm,Calm,S:87 H:T64 D:KQT96 C:T73,,S:AK6 H:AJ9 D:AJ2 C:A852,
Bidpractice/Set3,9,West,Calm,Calm,S:J63 H:AKQ82 D:K6 C:T95,,S:T95 H:J4 D:QJ83 C:KJ72,
Bidpractice/Set3,10,West,Calm,Calm,S:J962 H:KQ75 D:83 C:T74,,S:KQT73 H:A42 D:975 C:A6,
Bidpractice/Set3,11,West,Calm,Calm,S:A83 H:A7 D:KJ964 C:QJ5,,S:KJ4 H:KQ92 D:AQ5 C:KT8,
Bidpractice/Set3,12,West,Calm,Calm,S:K4 H:QT6 D:8532 C:Q985,,S:QJT96 H:A7 D:AQ6 C:AK7,
Bidpractice/Set3,13,West,Calm,Calm,S:QJT83 H:AJ4 D:AT C:962,,S:AK964 H:KQ5 D:KQJ7 C:3,
Bidpractice/Set3,14,West,Calm,Calm,S:A74 H:Q5 D:K764 C:7653,,S:62 H:AK8762 D:AT3 C:A9,
Bidpractice/Set3,15,West,Calm,Calm,S:KQ74 H:83 D:762 C:AKQ2,,S:JT83 H:AQ74 D:J53 C:76,
Bidpractice/Set3,16,West,Calm,Calm,S:A94 H:A7 D:K83 C:KJ962,,S:KQ7 H:KQJ3 D:AT6 C:QT8,
Bidpractice/Set3,17,West,Calm,Calm,S:K973 H:842 D:AK5 C:J76,,S:AQ862 H:J53 D:74 C:KQ2,
Bidpractice/Set3,18,West,Calm,Calm,S:73 H:Q8642 D:A86 C:K95,,S:T82 H:AK753 D:KQ5 C:Q6,
Bidpractice/Set3,19,West,Calm,Calm,S:QJ75 H:A D:AKQ3 C:KT62,,S:KT83 H:J72 D:986 C:QJ3,
Bidpractice/Set3,20,West,Calm,Calm,S:T963 H:754 D:Q7 C:AK64,,S:KQJ74 H:KQ2 D:AJ6 C:93,
Bidpractice/Set3,21,West,Calm,Calm,S:KJ3 H:KQ5 D:AQJ C:KJ42,,S:QT8 H:AJ6 D:KT93 C:QT5,
Bidpractice/Set3,22,West,Calm,Calm,S:JT4 H:AJ6 D:K53 C:T872,,S:965 H:KQ2 D:A87 C:KQJ3,
Bidpractice/Set3,23,West,Calm,Calm,S:QT82 H:AK D:764 C:AKQ5,,S:J975 H:642 D:AKJ C:742,
Bidpractice/Set3,24,West,Calm,Calm,S:543 H:A72 D:KT65 C:985,,S:KQJ H:KQ8 D:QJ93 C:AK2,
Bidpractice/Set4,1,West,Calm,Calm,S:KQ7 H:AT4 D:K9 C:QJT85,,S:AT92 H:Q973 D:AQ4 C:96,
Bidpractice/Set4,2,West,Calm,Calm,S:KJ8754 H:86 D:KQ3 C:72,,S:QT H:KQ93 D:A52 C:AT86,
Bidpractice/Set4,3,West,Calm,Calm,S:K75 H:Q93 D:K75 C:AKJ3,,S:643 H:AKJ765 D:82 C:Q7,
Bidpractice/Set4,4,West,Calm,Calm,S:73 H:KQ86 D:K42 C:JT95,,S:AK65 H:AT4 D:QJ97 C:K8,
Bidpractice/Set4,5,West,Calm,Calm,S:KJ4 H:QT D:KQJ6 C:A973,,S:A9 H:AJ983 D:752 C:J86,
Bidpractice/Set4,6,West,Calm,Calm,S:Q87632 H:85 D:954 C:53,,S:KJ5 H:A76 D:A83 C:KQ94,
Bidpractice/Set4,7,West,Calm,Calm,S:Q63 H:QT92 D:A76 C:AK3,,S:AK72 H:AJ86 D:53 C:T84,
Bidpractice/Set4,8,West,Calm,Calm,S:K974 H:K862 D:73 C:865,,S:AQ82 H:AQ3 D:KT62 C:AQ,
Bidpractice/Set4,9,West,Calm,Calm,S:AJT H:K9 D:A872 C:AT96,,S:Q9874 H:AJT83 D:Q6 C:5,
Bidpractice/Set4,10,West,Calm,Calm,S:KQ542 H:87 D:A8 C:Q764,,S:A96 H:KQ62 D:K532 C:K8,
