Subfolder,Deal,NorthHand,EastHand,SouthHand,WestHand,label
2Club,16,S:AK3 H:KQT D:AJ2 C:KQJT,S:984 H:84 D:87643 C:976,S:QJT7 H:A96 D:KQ5 C:A83,S:652 H:J7532 D:T9 C:542,auction_calm
2Club,17,S:AK H:AKT86 D:75 C:AKQ6,S:QT7542 H:3 D:QJ2 C:872,S:86 H:Q752 D:A9864 C:53,S:J93 H:J94 D:KT3 C:JT94,auction_calm
2Club,18,S:AJ H:AKT86 D:Q94 C:AKQ,S:2 H:QJ542 D:J762 C:J87,S:KQ9865 H:7 D:85 C:9532,S:T743 H:93 D:AKT3 C:T64,auction_calm
2Club,19,S:AJT75 H:8 D:A3 C:97642,S:982 H:QJ965 D:T87 C:T3,S:KQ63 H:AK D:KQ9 C:AKQ5,S:4 H:T7432 D:J6542 C:J8,auction_calm
2Club,20,S:AKQ75 H:A6 D:AQ7 C:KQ3,S:942 H:8743 D:K2 C:A652,S:63 H:KQJT2 D:T96 C:984,S:JT8 H:95 D:J8543 C:JT7,auction_calm
2over1,1,S:QT5 H:KQJT5 D:74 C:AQ6,S:96 H:973 D:AQ82 C:7532,S:J84 H:A2 D:KT963 C:KJ4,S:AK732 H:864 D:J5 C:T98,auction_calm
2over1,2,S:65 H:KQJ843 D:A5 C:Q63,S:AQ92 H:T76 D:72 C:9752,S:KJ8 H:A2 D:KT963 C:KJ4,S:T743 H:95 D:QJ84 C:AT8,auction_calm
2over1,3,S:K5 H:KQJ743 D:75 C:AK4,S:AT974 H:T D:J94 C:JT95,S:Q6 H:A82 D:AKQ63 C:763,S:J832 H:965 D:T82 C:Q82,auction_calm
2over1,4,S:AKJ865 H:43 D:75 C:K63,S:9 H:QT D:AKJT843 C:QT8,S:Q H:A9865 D:962 C:A742,S:T7432 H:KJ72 D:Q C:J95,auction_1s_2d
2over1,5,S:KJ965 H:AK843 D:75 C:4,S:T2 H:J92 D:T8432 C:KQ3,S:Q4 H:QT7 D:AJ6 C:AT986,S:A873 H:65 D:KQ9 C:J752,auction_calm
2over1,6,S:65 H:AQ953 D:KQ63 C:Q9,S:Q H:J84 D:JT2 C:KJT543,S:AJT74 H:KT7 D:A95 C:72,S:K9832 H:62 D:874 C:A86,auction_calm
2over1,7,S:AK9652 H:T983 D:4 C:A8,S:JT8 H:Q2 D:AJ953 C:543,S:7 H:AK75 D:K762 C:KQT6,S:Q43 H:J64 D:QT8 C:J972,auction_calm
2over1,8,S:AK92 H:AQ983 D:85 C:86,S:QJT6 H:JT5 D:942 C:QJ5,S:875 H:K4 D:AQJT7 C:K97,S:43 H:762 D:K63 C:AT432,auction_calm
2over1,9,S:A9742 H:A983 D:K6 C:Q7,S:J H:Q64 D:AJ843 C:T984,S:K8 H:JT7 D:975 C:AKJ62,S:QT653 H:K52 D:QT2 C:53,auction_calm
2over1,10,S:A4 H:KJT8653 D:KQ C:87,S:Q H: D:AJ97632 C:95432,S:KJ763 H:AQ7 D:84 C:AQJ,S:T9852 H:942 D:T5 C:KT6,auction_calm
2over1,11,S:AJT H:AK985 D:K96 C:Q7,S:K4 H:Q42 D:J875 C:8652,S:863 H:73 D:AQ4 C:AKJT4,S:Q9752 H:JT6 D:T32 C:93,auction_calm
2over1,12,S:AJ8752 H:AK D:Q6 C:J87,S:K H:JT952 D:753 C:AT52,S:Q63 H:Q3 D:AKJ94 C:964,S:T94 H:8764 D:T82 C:KQ3,auction_calm
2over1,13,S:AJT62 H:A62 D:QJ C:T87,S:Q8743 H: D:K6532 C:Q53,S:K5 H:KQ98543 D:A4 C:A4,S:9 H:JT7 D:T987 C:KJ962,auction_calm
2over1,14,S:QJ2 H:KT D:KQ865 C:Q87,S:T9643 H:942 D:J3 C:A96,S:A H:AQJ753 D:742 C:KJ4,S:K875 H:86 D:AT9 C:T532,auction_calm
2over1,15,S:AQ862 H:T4 D:K65 C:K87,S:T743 H:862 D:AQJ7 C:A3,S:J H:KQJ753 D:432 C:Q54,S:K95 H:A9 D:T98 C:JT962,auction_calm
2over1,16,S:AQ862 H:A4 D:95 C:AK87,S:J9 H:JT986 D:Q874 C:Q6,S:K H:K753 D:AT32 C:J954,S:T7543 H:Q2 D:KJ6 C:T32,auction_calm
2over1,17,S:862 H:AQJ753 D:95 C:A2,S:J73 H:2 D:AQ764 C:K963,S:K95 H:T6 D:KT32 C:JT54,S:AQT4 H:K984 D:J8 C:Q87,auction_calm
2over1,18,S:KJ2 H:874 D:AQ975 C:Q2,S:87 H:A5 D:4 C:KJ976543,S:AQT95 H:T96 D:KT86 C:A,S:643 H:KQJ32 D:J32 C:T8,auction_calm
2over1,19,S:K92 H:AK874 D:KT7 C:T8,S:A743 H:Q D:A642 C:7643,S:JT6 H:9 D:853 C:KQJ952,S:Q85 H:JT6532 D:QJ9 C:A,auction_1h_x
2over1,20,S:QJ2 H:J2 D:QJ862 C:AKJ,S: H:A9843 D:95 C:Q97654,S:AK98764 H:KQ7 D:K73 C:,S:T53 H:T65 D:AT4 C:T832,auction_calm
2over1,21,S:AJT82 H:AK82 D:Q2 C:T5,S:63 H:JT4 D:T86 C:A7632,S:74 H:Q73 D:AKJ73 C:KJ9,S:KQ95 H:965 D:954 C:Q84,auction_calm
2over1,22,S:AJT82 H:AT82 D:Q2 C:K5,S:96 H:7654 D:98 C:AQJ62,S:74 H:KQ3 D:AKJ73 C:T97,S:KQ53 H:J9 D:T654 C:843,auction_calm
2over1,23,S:T82 H:A2 D:A8542 C:Q85,S: H:JT98 D:JT96 C:AK643,S:AK974 H:KQ63 D:73 C:T7,S:QJ653 H:754 D:KQ C:J92,auction_calm
2over1,24,S:KQT62 H:A74 D:84 C:A85,S:A98 H:Q52 D:QJ93 C:942,S:74 H:9863 D:A762 C:KQ3,S:J53 H:KJT D:KT5 C:JT76,auction_calm
2over1,25,S:Q6 H:AKQ972 D:984 C:AQ,S:JT93 H:4 D:52 C:KT8652,S:AK874 H:J86 D:AJ6 C:93,S:52 H:T53 D:KQT73 C:J74,auction_calm
2over1,26,S:QJ8763 H:AK8 D:8 C:K75,S:K2 H:97543 D:AQT5 C:82,S:A4 H:QJ6 D:7642 C:A963,S:T95 H:T2 D:KJ93 C:QJT4,auction_calm
2over1,27,S:QJ9842 H:AJ95 D:83 C:K,S:63 H:K842 D:KT974 C:T9,S:T7 H:QT3 D:AJ6 C:AQ642,S:AK5 H:76 D:Q52 C:J8753,auction_calm
2over1,28,S:AJ8 H:Q652 D:873 C:A74,S:T42 H:AJ3 D:JT4 C:J862,S:KQ753 H:87 D:KQ6 C:Q95,S:96 H:KT94 D:A952 C:KT3,auction_calm
Bidpractice/Set1,1,S:AT6 H:A74 D:KQT2 C:K84,S:QJ9742 H:832 D:5 C:AQJ,S:853 H:K96 D:A863 C:965,S:K H:QJT5 D:J974 C:T732,auction_calm
Bidpractice/Set1,2,S:T97 H:A96 D:KQ73 C:K84,S:K653 H:Q743 D:862 C:T9,S:AQ4 H:KT8 D:JT95 C:AQ6,S:J82 H:J52 D:A4 C:J7532,auction_calm
Bidpractice/Set1,3,S:KQ82 H:K96 D:A94 C:A65,S:54 H:QJT52 D:82 C:J943,S:AJ3 H:A87 D:QJT5 C:QT7,S:T976 H:43 D:K763 C:K82,auction_calm
Bidpractice/Set1,4,S:AK52 H:872 D:943 C:765,S:8743 H:Q963 D:K7 C:KT4,S:J96 H:AJ5 D:AQJ C:A932,S:QT H:KT4 D:T8652 C:QJ8,auction_calm
Bidpractice/Set1,5,S:KQJ H:QJ95 D:AJ8 C:QJT,S:952 H:A73 D:Q95 C:9643,S:T863 H:K42 D:K43 C:K75,S:A74 H:T86 D:T762 C:A82,auction_calm
Bidpractice/Set1,6,S:T84 H:K72 D:Q65 C:KJ93,S:KQJ5 H:953 D:732 C:762,S:A976 H:AQ4 D:AJ4 C:QT8,S:32 H:JT86 D:KT98 C:A54,auction_calm
Bidpractice/Set1,7,S:AT6 H:K98 D:AJ2 C:KT95,S:J9875 H:QJT4 D:Q3 C:A2,S:KQ42 H:A73 D:T84 C:874,S:3 H:652 D:K9765 C:QJ63,auction_calm
Bidpractice/Set1,8,S:J742 H:85 D:J42 C:9873,S:T953 H:Q942 D:K987 C:Q,S:KQ6 H:AJT3 D:AQ C:KJ52,S:A8 H:K76 D:T653 C:AT64,auction_calm
Bidpractice/Set1,9,S:AT8 H:AT9 D:KQT8 C:K97,S:Q9654 H:J43 D:A76 C:52,S:K73 H:Q72 D:J94 C:QJT8,S:J2 H:K865 D:532 C:A643,auction_calm
Bidpractice/Set1,10,S:T962 H:K75 D:954 C:KQ6,S:A8743 H:T9 D:J62 C:542,S:KQJ H:A4 D:KQT8 C:AJ73,S:5 H:QJ8632 D:A73 C:T98,auction_calm
Bidpractice/Set1,11,S:KQ4 H:Q95 D:KQ62 C:K83,S:7632 H:T762 D:T93 C:A4,S:AT8 H:KJ3 D:AJ5 C:QJ72,S:J95 H:A84 D:874 C:T965,auction_calm
Bidpractice/Set1,12,S:T84 H:Q76 D:KJ3 C:KT52,S:J973 H:AJT4 D:85 C:864,S:AQ5 H:K85 D:QT76 C:A97,S:K62 H:932 D:A942 C:QJ3,auction_calm
Bidpractice/Set1,13,S:QJ4 H:AK D:K76 C:QJT52,S:73 H:JT9752 D:982 C:94,S:KT5 H:Q63 D:AQ54 C:AK3,S:A9862 H:84 D:JT3 C:876,auction_calm
Bidpractice/Set1,14,S:K74 H:QJ5 D:KJT C:A743,S:A632 H:T643 D:82 C:965,S:QJ9 H:AK8 D:AQ53 C:KQ8,S:T85 H:972 D:9764 C:JT2,auction_calm
Bidpractice/Set1,15,S:AT6 H:AQ4 D:KQJT C:KJ7,S:KQJ94 H:T72 D:54 C:Q84,S:853 H:K96 D:A863 C:965,S:72 H:J853 D:972 C:AT32,auction_calm
Bidpractice/Set1,16,S:764 H:AK8 D:KQ C:AJT74,S:QJ8 H:62 D:T543 C:9852,S:AK5 H:T743 D:A982 C:KQ,S:T932 H:QJ95 D:J76 C:63,auction_calm
Bidpractice/Set1,17,S:KJ9 H:AQ D:KQJ95 C:KT4,S:Q74 H:KJ974 D:6 C:7632,S:T63 H:T85 D:A73 C:Q985,S:A852 H:632 D:T842 C:AJ,auction_calm
Bidpractice/Set1,18,S:KJ92 H:A98 D:QT8 C:KQJ,S:A85 H:QJ72 D:J73 C:843,S:QT3 H:KT6 D:A94 C:T752,S:764 H:543 D:K652 C:A96,auction_calm
Bidpractice/Set1,19,S:KQ93 H:KQT D:AJ7 C:QT8,S:J85 H:7652 D:9842 C:A5,S:A7 H:A84 D:KT6 C:KJ742,S:T642 H:J93 D:Q53 C:963,auction_calm
Bidpractice/Set1,20,S:K8 H:AK5 D:A8 C:QT9632,S:JT96532 H:J43 D:3 C:A4,S:A74 H:Q96 D:KQ52 C:KJ8,S:Q H:T872 D:JT9764 C:75,auction_calm
Bidpractice/Set1,21,S:QJT H:AJ7 D:AK62 C:KQJ,S:9765 H:K3 D:QJ95 C:AT3,S:K83 H:9652 D:743 C:852,S:A42 H:QT84 D:T8 C:9764,auction_calm
Bidpractice/Set1,22,S:K53 H:K53 D:K53 C:K753,S:876 H:9876 D:QT7 C:QJ6,S:A42 H:A42 D:A642 C:A42,S:QJT9 H:QJT D:J98 C:T98,auction_calm
Bidpractice/Set1,23,S:AJ5 H:QT93 D:KQJ C:AK6,S:Q64 H:8764 D:T5 C:9742,S:K72 H:KJ5 D:A742 C:QJ8,S:T983 H:A2 D:9863 C:T53,auction_calm
Bidpractice/Set1,24,S:AK6 H:K93 D:K743 C:A62,S:JT92 H:AJ752 D:T8 C:K9,S:Q75 H:Q84 D:Q62 C:Q753,S:843 H:T6 D:AJ95 C:JT84,auction_calm
Bidpractice/Set10,1,S:AKJ74 H:87 D:A76 C:Q54,S:83 H:T6 D:QT84 C:AKJT7,S:Q962 H:952 D:K9 C:9862,S:T5 H:AKQJ43 D:J532 C:3,auction_1h
Bidpractice/Set10,2,S:Q962 H:T52 D:KQ4 C:KJ6,S:T H:AKQ964 D:J9 C:A932,S:AKJ74 H:87 D:A76 C:Q54,S:853 H:J3 D:T8532 C:T87,auction_1h
Bidpractice/Set10,3,S:AKJ74 H:87 D:976 C:J54,S:T53 H:Q64 D:QJT83 C:73,S:Q962 H:T52 D:AK C:K862,S:8 H:AKJ93 D:542 C:AQT9,auction_1h
Bidpractice/Set10,4,S:AT53 H:T75 D:Q8 C:A862,S:QJ74 H:AK9832 D:4 C:J9,S:K986 H:4 D:AK73 C:KQ75,S:2 H:QJ6 D:JT9652 C:T43,auction_1h
Bidpractice/Set10,5,S:53 H:AJ42 D:KQJ C:K742,S:K9 H:K85 D:AT975 C:QT3,S:7642 H:763 D:864 C:J98,S:AQJT8 H:QT9 D:32 C:A65,auction_1s
Bidpractice/Set10,6,S:AJT7 H:J7 D:QJ95 C:A83,S:K62 H:A84 D:642 C:KQ97,S:Q985 H:KQT5 D:AK3 C:42,S:43 H:9632 D:T87 C:JT65,auction_1c
Bidpractice/Set10,7,S:Q74 H:9652 D:Q5 C:A863,S:T62 H:AT D:T9842 C:T92,S:AKJ983 H:7 D:AKJ3 C:75,S:5 H:KQJ843 D:76 C:KQJ4,auction_1h
Bidpractice/Set10,8,S:87 H:A976 D:A62 C:K963,S:KQ542 H:J4 D:KJ985 C:J,S:AJ9 H:KQ8 D:Q74 C:AQ85,S:T63 H:T532 D:T3 C:T742,auction_1s
Bidpractice/Set10,9,S:A86 H:KQJ D:AJ97 C:KQ4,S:KQ973 H:T85 D:T C:9532,S:JT52 H:7642 D:86 C:J86,S:4 H:A93 D:KQ5432 C:AT7,auction_1d
Bidpractice/Set10,10,S:KJ62 H:65 D:AQ3 C:9874,S:A3 H:KJ8732 D:84 C:QJT,S:Q74 H:AQT D:KJ75 C:AK6,S:T985 H:94 D:T962 C:532,auction_1h
Bidpractice/Set10,11,S:AQT53 H:64 D:QT C:A974,S:9876 H:J92 D:64 C:KT86,S:KJ42 H:A85 D:KJ32 C:J2,S: H:KQT73 D:A9875 C:Q53,auction_1h
Bidpractice/Set10,12,S:Q3 H:KQ9864 D:A52 C:95,S:A82 H:A3 D:KJT4 C:Q864,S:KJ64 H:JT75 D:6 C:AKJ3,S:T975 H:2 D:Q9873 C:T72,auction_1d
Bidpractice/Set10,13,S:AT94 H:KQJ7 D:Q6 C:AQ4,S:Q832 H:9863 D:T2 C:985,S:J76 H:T52 D:AJ94 C:KT2,S:K5 H:A4 D:K8753 C:J763,auction_1d
Bidpractice/Set10,14,S:Q8 H:AJ92 D:AJ6 C:Q983,S:JT H:KT763 D:Q985 C:AK,S:AK964 H:Q5 D:K74 C:JT7,S:7532 H:84 D:T32 C:6542,auction_1h
Bidpractice/Set10,15,S:87 H:KQ97 D:AK83 C:QJ4,S:T5 H:86 D:T97642 C:732,S:A93 H:JT53 D:Q5 C:AK86,S:KQJ642 H:A42 D:J C:T95,auction_1s
Bidpractice/Set10,16,S:K75 H:852 D:KQ3 C:9762,S:93 H:KQJ96 D:T954 C:KQ,S:AQJ642 H:A7 D:J72 C:A8,S:T8 H:T43 D:A86 C:JT543,auction_1h
Bidpractice/Set10,17,S:K983 H:76 D:KQ5 C:AJ76,S:T75 H:JT952 D:96 C:953,S:QJ2 H:AK43 D:74 C:KQ82,S:A64 H:Q8 D:AJT832 C:T4,auction_1d
Bidpractice/Set10,18,S:96 H:Q65 D:J754 C:KT62,S:KQ532 H:82 D:KQ32 C:QJ,S:AJT74 H:A73 D:A86 C:95,S:8 H:KJT94 D:T9 C:A8743,auction_1s
Bidpractice/Set10,19,S:KQJ9753 H:74 D:Q3 C:62,S:T H:AT83 D:JT752 C:KJT,S:A82 H:J52 D:K986 C:753,S:64 H:KQ96 D:A4 C:AQ984,auction_1c
Bidpractice/Set10,20,S:K72 H:QJ54 D:63 C:9864,S:4 H:A98 D:KQ74 C:AKJT5,S:AJT85 H:63 D:AJT85 C:3,S:Q963 H:KT72 D:92 C:Q72,auction_1c
Bidpractice/Set10,21,S:A53 H:42 D:AK2 C:J7642,S:9 H:KJT75 D:QJ75 C:T93,S:Q86 H:Q863 D:9843 C:85,S:KJT742 H:A9 D:T6 C:AKQ,auction_1s
Bidpractice/Set10,22,S:T3 H:KJ76 D:KJ5 C:AQ72,S:A9765 H:A85 D:AT9 C:65,S:KQJ842 H:Q2 D:Q87 C:83,S: H:T943 D:6432 C:KJT94,auction_1s
Bidpractice/Set10,23,S:AK872 H:J98 D:K76 C:65,S:T6 H:743 D:JT3 C:JT983,S:QJ5 H:AKQ2 D:A985 C:42,S:943 H:T65 D:Q42 C:AKQ7,auction_1c
Bidpractice/Set10,24,S:T65 H:84 D:KJT3 C:AJ84,S:AJ72 H:T9 D:AQ72 C:732,S:KQ3 H:KQJ53 D:965 C:T6,S:984 H:A762 D:84 C:KQ95,auction_1d
Bidpractice/Set11,1,S:AKJ7 H:87 D:976 C:KQ54,S: H:J6 D:AKQT532 C:J983,S:Q962 H:AK53 D:84 C:A62,S:T8543 H:QT942 D:J C:T7,auction_1c_1d
Bidpractice/Set11,2,S:AK62 H:AT93 D:97 C:Q82,S:JT84 H:Q64 D:JT C:9765,S:Q97 H:J87 D:AK6 C:KJT4,S:53 H:K52 D:Q85432 C:A3,auction_1c_1d
Bidpractice/Set11,3,S:AKJ7 H:87 D:976 C:KQ54,S:854 H:J D:AKJT52 C:T98,S:Q962 H:AK5 D:84 C:A632,S:T3 H:QT96432 D:Q3 C:J7,auction_1c_1d
Bidpractice/Set11,4,S:K9 H:862 D:AK63 C:KQ75,S:764 H:9 D:T542 C:T9642,S:AT532 H:AJT D:987 C:A8,S:QJ8 H:KQ7543 D:QJ C:J3,auction_1s_2h
Bidpractice/Set11,5,S:9 H:KQJ7 D:AK6 C:AQT54,S:AKQJ543 H:T3 D:7 C:J83,S:T86 H:A9642 D:84 C:K62,S:72 H:85 D:QJT9532 C:97,auction_1c_1s
Bidpractice/Set11,6,S:AK62 H:93 D:972 C:Q982,S:J843 H:52 D:QT4 C:A753,S:T97 H:K87 D:AK6 C:KJT4,S:Q5 H:AQJT64 D:J853 C:6,auction_1c_1h
Bidpractice/Set11,7,S:AK632 H:93 D:972 C:Q92,S:JT54 H:A2 D:J843 C:853,S:Q97 H:J87 D:AK6 C:KJT4,S:8 H:KQT654 D:QT5 C:A76,auction_1c_1h
Bidpractice/Set11,8,S:A52 H:AQT93 D:97 C:AJ2,S:KQJ864 H:J6 D:J53 C:76,S:97 H:K874 D:KQ6 C:KT94,S:T3 H:52 D:AT842 C:Q853,auction_1h_1s
Bidpractice/Set11,9,S:852 H:AQT93 D:97 C:AQ2,S:AKJ64 H:6 D:Q52 C:J653,S:97 H:K874 D:T86 C:KT94,S:QT3 H:J52 D:AKJ43 C:87,auction_1h_1s
Bidpractice/Set11,10,S:Q862 H:AK93 D:97 C:A82,S:4 H:QJ D:AKQ542 C:9763,S:AK973 H:64 D:63 C:KJT4,S:JT5 H:T8752 D:JT8 C:Q5,auction_1d
Bidpractice/Set11,11,S:Q862 H:AK93 D:97 C:A82,S:4 H:QJ8 D:AKJ82 C:KQ94,S:AK973 H:654 D:Q3 C:763,S:JT5 H:T72 D:T654 C:JT5,auction_1d
Bidpractice/Set11,12,S:Q75 H:QJ93 D:AT82 C:Q8,S:642 H:65 D:753 C:J9542,S:8 H:AKT87 D:KQJ4 C:AK6,S:AKJT93 H:42 D:96 C:T73,auction_1h_1s
Bidpractice/Set11,13,S:KQJ7 H:T7 D:A976 C:AT4,S:A9543 H:K652 D:Q C:Q73,S:62 H:AQJ3 D:J84 C:J982,S:T8 H:984 D:KT532 C:K65,auction_1d_1s
Bidpractice/Set11,14,S:AK642 H:93 D:T97 C:982,S:853 H:QT5 D:J43 C:A653,S:Q97 H:J87 D:AK86 C:KT4,S:JT H:AK642 D:Q52 C:QJ7,auction_1d_1h
Bidpractice/Set11,15,S:AJ7 H:K987 D:KQ76 C:54,S:Q3 H:T62 D:AJ C:KQJT83,S:K962 H:AQ53 D:84 C:A62,S:T854 H:J4 D:T9532 C:97,auction_1d_2c
Bidpractice/Set11,16,S:AK82 H:963 D:JT C:8653,S:T94 H:AT4 D:97532 C:74,S:QJ75 H:87 D:AQ86 C:KJT,S:63 H:KQJ52 D:K4 C:AQ92,auction_1d_1h
Bidpractice/Set11,16,S:AK82 H:963 D:JT C:8653,S:T93 H:A52 D:9752 C:Q42,S:QJ75 H:87 D:AQ86 C:KJT,S:64 H:KQJT4 D:K43 C:A97,auction_1d_1h_x_2h
Bidpractice/Set11,17,S:T2 H:KQJ76 D:AQ5 C:963,S:AKQ9743 H:5 D:832 C:54,S:J85 H:AT84 D:K9 C:KQJ2,S:6 H:932 D:JT764 C:AT87,auction_1h_1s
Bidpractice/Set11,18,S:862 H:63 D:KQ97 C:AQ82,S:K4 H:Q942 D:AT82 C:765,S:97 H:AKJ87 D:43 C:KJT4,S:AQJT53 H:T5 D:J65 C:93,auction_1h_2s
Bidpractice/Set11,19,S:AQJ752 H:AKQ7 D:K2 C:8,S: H:J984 D:QJ9753 C:AK4,S:KT93 H:65 D:A4 C:QJ652,S:864 H:T32 D:T86 C:T973,auction_1s_2d
Bidpractice/Set11,20,S:8 H:AJ93 D:KQ52 C:QJ82,S:KJT H:T642 D:AT9 C:976,S:953 H:KQ87 D:J3 C:AK54,S:AQ7642 H:5 D:8764 C:T3,auction_1c_2s
Bidpractice/Set11,21,S:QJ83 H:87 D:A76 C:KQJ4,S:A7 H:AKQ964 D:Q98 C:T9,S:KT65 H:J2 D:K54 C:A632,S:942 H:T53 D:JT32 C:875,auction_1c_1h
Bidpractice/Set11,22,S:A5 H:KQJ82 D:742 C:Q82,S:Q86 H:975 D:AQ93 C:T97,S:972 H:A63 D:86 C:AKJ64,S:KJT43 H:T4 D:KJT5 C:53,auction_1c_1s
Bidpractice/Set11,23,S:K9 H:AQJ96 D:T54 C:A83,S:A843 H: D:Q87 C:KQJT97,S:QJ5 H:KT53 D:AJ62 C:64,S:T762 H:8742 D:K93 C:52,auction_1h_2c
Bidpractice/Set11,24,S:AQJ3 H:J4 D:9642 C:T96,S:6 H:T872 D:J75 C:K5432,S:T5 H:AKQ63 D:AT8 C:AJ7,S:K98742 H:95 D:KQ3 C:Q8,auction_1h_1s
Bidpractice/Set12,1,S:A73 H:QJT82 D:K86 C:Q4,S:865 H:73 D:T93 C:AKJ62,S:KQJ42 H:K5 D:A52 C:753,S:T9 H:A964 D:QJ74 C:T98,auction_calm
Bidpractice/Set12,2,S:J84 H:KQ84 D:Q52 C:763,S:AT962 H:5 D:T973 C:QT4,S:K5 H:AJ962 D:AK C:J852,S:Q73 H:T73 D:J864 C:AK9,auction_calm
Bidpractice/Set12,3,S:AJ762 H:KT94 D:KQ6 C:4,S:Q43 H:A3 D:7532 C:9652,S:K8 H:Q85 D:J84 C:AKJ73,S:T95 H:J762 D:AT9 C:QT8,auction_calm
Bidpractice/Set12,4,S:Q9652 H:763 D:AQ C:Q84,S:K4 H:KT982 D:72 C:J532,S:87 H:AQ5 D:KT943 C:KT7,S:AJT3 H:J4 D:J865 C:A96,auction_calm
Bidpractice/Set12,5,S:AKT62 H:A43 D:K964 C:7,S:987 H:KJT6 D:7 C:KJT43,S:Q543 H:75 D:AJT3 C:652,S:J H:Q982 D:Q852 C:AQ98,auction_calm
Bidpractice/Set12,6,S:QJ83 H:AQJ7 D:J9 C:KT2,S:K9642 H:92 D:83 C:QJ97,S:AT5 H:T4 D:KQ74 C:A863,S:7 H:K8653 D:AT652 C:54,auction_calm
Bidpractice/Set12,7,S:K64 H:KQ974 D:4 C:AJ65,S:JT H:A63 D:QJT873 C:72,S:AQ972 H:85 D:A96 C:QT4,S:853 H:JT2 D:K52 C:K983,auction_calm
Bidpractice/Set12,8,S:AK763 H:KT84 D:K4 C:52,S:T4 H:32 D:JT753 C:KQT9,S:85 H:QJ97 D:AQ9 C:A843,S:QJ92 H:A65 D:862 C:J76,auction_calm
Bidpractice/Set12,9,S:K942 H:8 D:87542 C:Q97,S:863 H:AJ432 D:AK C:652,S:AQJT7 H:765 D:3 C:AK84,S:5 H:KQT9 D:QJT96 C:JT3,auction_calm
Bidpractice/Set12,10,S:AJ75 H:K6 D:874 C:AJT3,S:943 H:QT82 D:95 C:KQ84,S:KT H:A9754 D:KQ62 C:96,S:Q862 H:J3 D:AJT3 C:752,auction_calm
Bidpractice/Set12,11,S:A7 H:QT976 D:Q7 C:AT96,S:KQT9652 H:J4 D:AJ C:84,S:J83 H:A832 D:K864 C:72,S:4 H:K5 D:T9532 C:KQJ53,auction_calm
Bidpractice/Set12,12,S:KQT63 H:KQJ8 D:95 C:Q8,S:AJ952 H:963 D:82 C:J54,S:84 H:AT7 D:QT643 C:AK2,S:7 H:542 D:AKJ7 C:T9763,auction_calm
