Lesson,Board,Seat,Fingerprint,Card,Who,Quality,FetchedAt
2over1,15,W,e3783337944b0956,ST,Simulation (make/set DD),0.8002,2026-08-31T02:14:11Z
2over1,16,W,6bfb259bbdd09b6f,D8,Simulation (make/set DD),0.8124,2026-08-31T02:14:20Z
2over1,17,E,ebb0e52d64bcf931,SJ,Simulation (make/set DD),0.832,2026-08-31T02:14:29Z
2over1,18,W,63ff75aaa09949e2,HK,Simulation (make/set DD),0.7931,2026-08-31T02:14:32Z
2over1,19,W,4f7251894a4562a2,DQ,Simulation (make/set DD),0.6009,2026-08-31T02:14:34Z
2over1,20,W,a4a1a73cf8957abf,DA,Simulation (make/set DD),0.6577,2026-08-31T02:14:36Z
2over1,21,W,f6b9249542b82c6a,HT,Simulation (make/set DD),0.799,2026-08-31T02:14:38Z
2over1,22,E,3c75f8cdcd17494c,D6,Simulation (make/set DD),0.8224,2026-08-31T02:14:44Z
2over1,23,W,5b1e7ed9a100020c,S3,Simulation (make/set DD),0.6282,2026-08-31T02:14:46Z
2over1,24,E,907a6bd3815944d6,H5,Simulation (make/set DD),0.8163,2026-08-31T02:14:53Z
2over1,25,E,21d14bddc0580c53,CJ,NN - bad quality samples,-1,2026-08-31T02:14:55Z
2over1,26,E,f9efc30fb8a0d23f,DA,Simulation (make/set DD),0.7965,2026-08-31T02:14:59Z
2over1,27,E,6977f40ed3d9e7eb,DT,Simulation (make/set DD),0.8119,2026-08-31T02:15:06Z
2over1,28,W,cae70f57145c25bc,C6,Simulation (make/set DD),0.7146,2026-08-31T02:15:11Z
Blackwood,1,E,b01c20d7d7a2a6a6,D4,Simulation (make/set DD),0.7001,2026-08-31T02:15:13Z
Blackwood,2,W,bf34ac53f60783c1,HJ,Simulation (make/set DD),0.76,2026-08-31T02:15:17Z
Blackwood,3,E,39b6a9c5ec0afd55,H3,Simulation (make/set DD),0.6885,2026-08-31T02:15:19Z
Blackwood,4,W,a424b28aaa0299f1,H7,Simulation (make/set DD),0.7442,2026-08-31T02:15:22Z
Blackwood,5,E,ad5d45f904311599,S2,Simulation (make/set DD),0.4094,2026-08-31T02:15:24Z
Blackwood,6,W,528665aa8e677b8e,C2,Simulation (make/set DD),0.7447,2026-08-31T02:15:29Z
Blackwood,7,E,f08fcd9d2e4e2cac,H8,Simulation (make/set DD),0.5636,2026-08-31T02:15:31Z
Blackwood,8,E,67407d43f9346614,D2,NN - bad quality samples,-1,2026-08-31T02:15:33Z
Blackwood,9,E,913fdb42155a3cc9,CQ,NN - bad quality samples,-1,2026-08-31T02:15:35Z
Blackwood,10,W,e002f674011f0049,S6,Simulation (make/set DD),0.5236,2026-08-31T02:15:37Z
Blackwood,11,E,d51c8c7c8a8516c6,D7,Simulation (make/set DD),0.5997,2026-08-31T02:15:39Z
Blackwood,12,W,27961f9c793ad259,HA,Simulation (make/set DD),0.7249,2026-08-31T02:15:42Z
Blackwood,13,W,fff6cd3d52f44628,C3,Simulation (make/set DD),0.506,2026-08-31T02:15:45Z
Blackwood,14,W,b0fb36ead31da727,C5,NN - bad quality samples,-1,2026-08-31T02:15:46Z
Blackwood,15,E,81835953b507e0f0,S2,NN - bad quality samples,-1,2026-08-31T02:15:48Z
Blackwood,16,W,a3a15108083a7c01,C7,Simulation (make/set DD),0.7414,2026-08-31T02:15:51Z
Blackwood,17,W,4d9e9dacc1e2f243,CA,Simulation (make/set DD),0.5561,2026-08-31T02:15:55Z
Blackwood,18,W,fc6c57b203ccb40d,C4,NN - bad quality samples,-1,2026-08-31T02:15:56Z
Blackwood,19,E,cfe4c8c92e4d15c3,S2,Simulation (make/set DD),0.5865,2026-08-31T02:15:58Z
Blackwood,20,E,9788fa77b9dde239,ST,NN - bad quality samples,-1,2026-08-31T02:15:59Z
Cue-bid,1,E,e5cfac3fa9d02151,D5,Simulation (make/set DD),0.8101,2026-08-31T02:16:02Z
Cue-bid,2,W,a1b2b70d3bacfca7,CK,Simulation (make/set DD),0.8103,2026-08-31T02:16:07Z
Cue-bid,3,E,7b0483dda951298b,ST,Simulation (make/set DD),0.7613,2026-08-31T02:16:11Z
Cue-bid,4,W,61d8b6c39496becc,CJ,Simulation (make/set DD),0.7811,2026-08-31T02:16:15Z
Cue-bid,5,E,f42880e755ddc7ea,HK,Simulation (make/set DD),0.793,2026-08-31T02:16:18Z
Cue-bid,6,W,2f3eabd2c8f2d6e2,SK,Simulation (make/set DD),0.7743,2026-08-31T02:16:22Z
Cue-bid,7,E,809dccbfdec89585,H4,Simulation (make/set DD),0.7349,2026-08-31T02:16:28Z
Cue-bid,8,W,4585f6ccbcbd8742,HK,Simulation (make/set DD),0.7265,2026-08-31T02:16:31Z
Cue-bid,9,E,e770dbdf5febeeee,C2,Simulation (make/set DD),0.7868,2026-08-31T02:16:43Z
Cue-bid,10,E,a32a199fe6de6427,CK,NN - bad quality samples,-1,2026-08-31T02:16:45Z
DONT,1,E,457a571622750f7b,H3,Simulation (make/set DD),0.8405,2026-08-31T02:16:53Z
DONT,2,E,b41dcd7cb31dfc14,H4,Simulation (make/set DD),0.7181,2026-08-31T02:16:56Z
DONT,3,E,61047385da28d935,S2,Simulation (make/set DD),0.7458,2026-08-31T02:17:07Z
DONT,4,E,e17d704231132951,SK,Simulation (make/set DD),0.7165,2026-08-31T02:17:24Z
DONT,5,W,8ef2b2f263f072ec,CT,Simulation (make/set DD),0.7564,2026-08-31T02:17:27Z
DONT,6,W,0fdbc0a6022a1355,HK,Simulation (make/set DD),0.8977,2026-08-31T02:17:30Z
DONT,7,W,749c1516bdc51437,SK,Simulation (make/set DD),0.7526,2026-08-31T02:17:32Z
DONT,8,W,7a30044808146ffd,C8,Simulation (make/set DD),0.8189,2026-08-31T02:17:43Z
DONT,9,E,929b4e99ecff8be6,H5,Simulation (make/set DD),0.8566,2026-08-31T02:17:48Z
DONT,10,E,376fa66b951c120e,C6,Simulation (make/set DD),0.7232,2026-08-31T02:17:50Z
DONT,11,W,c99ed0826e993df8,CA,Simulation (make/set DD),0.8047,2026-08-31T02:17:55Z
DONT,12,E,f0ca4da648aee7c2,CA,Simulation (make/set DD),0.724,2026-08-31T02:17:57Z
DONT,13,E,414638e79cddd5e6,HK,Simulation (make/set DD),0.8445,2026-08-31T02:18:01Z
DONT,14,E,778eb792f3f96b4a,DT,Simulation (make/set DD),0.9024,2026-08-31T02:18:05Z
DONT,15,E,a9788a4a35219a09,H2,Simulation (make/set DD),0.724,2026-08-31T02:18:07Z
DONT,16,E,e23eb49b4c73cbed,S5,Simulation (make/set DD),0.782,2026-08-31T02:18:15Z
DONT,17,W,1463b21fb7b91822,CT,Simulation (make/set DD),0.8326,2026-08-31T02:18:26Z
DONT,18,S,c7f4be66f33d66ca,DQ,Simulation (make/set DD),0.9731,2026-08-31T02:18:33Z
DONT,19,W,4cfc80b1c28ee10f,SA,Simulation (make/set DD),0.8001,2026-08-31T02:18:36Z
DONT,20,W,a4a87133c4260010,CJ,Simulation (make/set DD),0.7518,2026-08-31T02:18:44Z
Drury,1,E,9469312f67f92480,S7,Simulation (make/set DD),0.7942,2026-08-31T02:18:48Z
Drury,2,W,4cdcbfa789d4ba03,D2,Simulation (make/set DD),0.7743,2026-08-31T02:18:52Z
Drury,3,E,54fe7994be466e40,CK,Simulation (make/set DD),0.7826,2026-08-31T02:18:55Z
Drury,4,W,12798ceb08c5727b,H2,Simulation (make/set DD),0.7685,2026-08-31T02:19:00Z
Drury,5,E,92b77eb053a8e4d8,HT,Simulation (make/set DD),0.7474,2026-08-31T02:19:04Z
Drury,6,W,ebaed5776a7bf753,H2,Simulation (make/set DD),0.8322,2026-08-31T02:19:06Z
Drury,7,E,9de1ef1d5fe9d7f8,CQ,Simulation (make/set DD),0.7498,2026-08-31T02:19:11Z
Drury,8,W,b0840ed0ffb24ee8,D5,Simulation (make/set DD),0.7346,2026-08-31T02:19:13Z
FSF,1,W,639a0a95981d10bc,DK,Simulation (make/set DD),0.8483,2026-08-31T02:19:18Z
FSF,2,W,7d149db423cbda30,C7,Simulation (make/set DD),0.5093,2026-08-31T02:19:19Z
FSF,3,E,7df36d17b24a488d,DK,Simulation (make/set DD),0.511,2026-08-31T02:19:22Z
FSF,4,W,b5f6c31ed960749e,HK,Simulation (make/set DD),0.7735,2026-08-31T02:19:28Z
FSF,5,W,c1a7e2c9a78076dd,D7,Simulation (make/set DD),0.8071,2026-08-31T02:19:34Z
FSF,6,W,693a584949f73b3a,SQ,Simulation (make/set DD),0.6624,2026-08-31T02:19:36Z
FSF,7,E,a8eef5132627a794,CK,Simulation (make/set DD),0.8007,2026-08-31T02:19:42Z
FSF,8,E,b3bf8761ed95b161,CQ,Simulation (make/set DD),0.7363,2026-08-31T02:19:49Z
FSF,9,E,ad9874cd6e516e88,CK,Simulation (make/set DD),0.8373,2026-08-31T02:19:55Z
FSF,10,E,1132dd038b70348a,D3,Simulation (make/set DD),0.7738,2026-08-31T02:20:08Z
FSF,11,E,b49d8a7c99a3e4bc,HK,Simulation (make/set DD),0.6933,2026-08-31T02:20:12Z
FSF,12,E,a70d6dd11a6669b2,C8,Simulation (make/set DD),0.7145,2026-08-31T02:20:16Z
FSF,13,W,324a80f84248b818,CT,Simulation (make/set DD),0.8026,2026-08-31T02:20:26Z
FSF,14,E,eb99b49c87f22d40,H2,Simulation (make/set DD),0.7395,2026-08-31T02:20:31Z
Help,1,W,94b746029950bb39,D7,Simulation (make/set DD),0.8953,2026-08-31T02:20:51Z
Help,2,E,d6debccb0052f26a,S5,Simulation (make/set DD),0.7719,2026-08-31T02:20:59Z
Help,3,W,ec127b361a52ace3,CK,Simulation (make/set DD),0.7842,2026-08-31T02:21:02Z
Help,4,E,b75e116a4bf85639,ST,Simulation (make/set DD),0.7575,2026-08-31T02:21:06Z
Help,5,W,76f1272cd40bb394,DT,Simulation (make/set DD),0.7527,2026-08-31T02:21:11Z
Help,6,E,b89630afd8e93bcb,CK,Simulation (make/set DD),0.7754,2026-08-31T02:21:17Z
Help,7,W,9e1e9bd3617008ba,C5,Simulation (make/set DD),0.7701,2026-08-31T02:21:23Z
Help,8,E,a2eee6b07bf6e55a,ST,Simulation (make/set DD),0.7724,2026-08-31T02:21:32Z
Help,9,W,7cc562266c9a04ba,DQ,Simulation (make/set DD),0.5235,2026-08-31T02:21:34Z
Help,10,E,37e5e3715d776fd3,DK,Simulation (make/set DD),0.6034,2026-08-31T02:21:35Z
Jacoby,1,W,319cf7ed7fefff75,CA,Simulation (make/set DD),0.8361,2026-08-31T02:21:37Z
Jacoby,2,E,05600afdf8a51a93,CT,Simulation (make/set DD),0.7787,2026-08-31T02:21:42Z
Jacoby,3,W,e9976b7b83fc0e2b,C7,Simulation (make/set DD),0.5917,2026-08-31T02:21:46Z
Jacoby,4,E,c4a557ed49eae86a,C9,Simulation (make/set DD),0.8053,2026-08-31T02:21:49Z
Jacoby,5,W,26ee0f655ccc960f,H5,Simulation (make/set DD),0.7207,2026-08-31T02:21:51Z
Jacoby,6,E,d4a32f70a4083c7e,D5,Simulation (make/set DD),0.8105,2026-08-31T02:21:56Z
Jacoby,7,W,38f89e6da24fc55e,CT,Simulation (make/set DD),0.6337,2026-08-31T02:21:59Z
Jacoby,8,E,aeadbef83bf30f6e,D4,Simulation (make/set DD),0.7725,2026-08-31T02:22:05Z
Jacoby,9,W,633fafd5b409b1ab,C4,Simulation (make/set DD),0.6117,2026-08-31T02:22:06Z
Jacoby,10,E,a59b3b74c26f48b8,CK,Simulation (make/set DD),0.6743,2026-08-31T02:22:12Z
Jacoby,11,E,e043c48ff531f0f8,DQ,Simulation (make/set DD),0.6896,2026-08-31T02:22:14Z
Jacoby,12,E,9160050e4fcb4670,CQ,Simulation (make/set DD),0.5805,2026-08-31T02:22:16Z
Jacoby,13,W,57f73373469818d2,DQ,Simulation (make/set DD),0.7551,2026-08-31T02:22:20Z
Jacoby,14,E,3efcb31ec38b0987,H3,Simulation (make/set DD),0.8301,2026-08-31T02:22:31Z
Jacoby,15,W,599ee7e543140afe,CQ,Simulation (make/set DD),0.7394,2026-08-31T02:22:36Z
Jacoby,16,E,c8c42dff6784a168,HJ,Simulation (make/set DD),0.7402,2026-08-31T02:22:38Z
Jacoby,17,W,3aa6de9fa2fbbe4f,SJ,NN - bad quality samples,-1,2026-08-31T02:22:39Z
Jacoby,18,E,c4a3d0df30f0fcc9,HK,NN - bad quality samples,-1,2026-08-31T02:22:41Z
Jacoby,19,W,6e7d850295a38071,D2,Simulation (make/set DD),0.676,2026-08-31T02:22:45Z
Jacoby,20,E,c05fed3ae06566f4,SK,Simulation (make/set DD),0.7863,2026-08-31T02:22:48Z
Jacoby,21,W,89facf86b85b41a7,D2,Simulation (make/set DD),0.7402,2026-08-31T02:22:50Z
Jacoby,22,E,ab033212fd35abff,D4,Simulation (make/set DD),0.6204,2026-08-31T02:22:52Z
Jacoby,23,W,237d8434cbd3ae5b,DA,Simulation (make/set DD),0.6526,2026-08-31T02:22:55Z
Jacoby,24,E,aea7a08a1fe54567,H2,Simulation (make/set DD),0.6937,2026-08-31T02:22:58Z
Jacoby,25,W,434d39a80b8fbdc5,D6,Simulation (make/set DD),0.6729,2026-08-31T02:22:59Z
Leben,1,W,6b515e452a395f8c,H8,Simulation (make/set DD),0.8276,2026-08-31T02:23:03Z
Leben,2,E,f0d63eb634c88e2c,HT,Simulation (make/set DD),0.5965,2026-08-31T02:23:05Z
Leben,3,W,25308d9d1f9098d2,S3,Simulation (make/set DD),0.2495,2026-08-31T02:23:08Z
Leben,4,E,284477df6b9a9de3,C8,Simulation (make/set DD),0.1679,2026-08-31T02:23:09Z
Leben,5,E,4246479798fdd4ca,CK,Simulation (make/set DD),0.4553,2026-08-31T02:23:10Z
Leben,6,W,4e7e41856ed9fb7b,DK,Simulation (make/set DD),0.5226,2026-08-31T02:23:12Z
Leben,7,W,5ebc313a511f980f,ST,Simulation (make/set DD),0.3181,2026-08-31T02:23:14Z
Leben,8,E,59b03f2420a5d872,S6,Simulation (make/set DD),0.15,2026-08-31T02:23:15Z
Leben,9,E,e3286b9f71a8c765,SK,Simulation (make/set DD),0.7089,2026-08-31T02:23:16Z
Leben,10,W,095eb746edc51f70,HK,Simulation (make/set DD),0.7637,2026-08-31T02:23:21Z
Leben,11,E,853f6af9ecfbf5f3,D8,Simulation (make/set DD),0.6729,2026-08-31T02:23:24Z
Leben,12,W,a30bfa69943222bf,D4,Simulation (make/set DD),0.5538,2026-08-31T02:23:27Z
Leben,13,E,a38e54dbc5d9f230,HK,Simulation (make/set DD),0.8337,2026-08-31T02:23:35Z
Leben,14,W,f8d2567c29c083e1,H5,Simulation (make/set DD),0.8077,2026-08-31T02:23:38Z
Leben,15,E,cea05bd594c159c8,H4,Simulation (make/set DD),0.7928,2026-08-31T02:23:50Z
Leben,16,N,17b5e07c7c5bd62d,H4,Simulation (make/set DD),0.4554,2026-08-31T02:23:51Z
Leben,17,W,a02678708f98f32f,S3,Simulation (make/set DD),0.5168,2026-08-31T02:23:55Z
Leben,18,W,2d2a2aeeb97e0803,HK,Simulation (make/set DD),0.5601,2026-08-31T02:23:56Z
Leben,19,S,427dd32fa8bf88dd,CT,Simulation (make/set DD),0.6658,2026-08-31T02:23:58Z
Leben,20,W,d4f4ec82503c0ce7,DK,Simulation (make/set DD),0.5217,2026-08-31T02:24:02Z
Major,1,W,326a08da95ad0d1e,DK,Simulation (make/set DD),0.8618,2026-08-31T02:24:06Z
Major,2,W,23450d3e1767d30d,SQ,Simulation (make/set DD),0.7805,2026-08-31T02:24:12Z
Major,3,W,479eb8566cac272c,HT,Simulation (make/set DD),0.7656,2026-08-31T02:24:15Z
Major,4,W,919dc5c02ed4af7e,C3,Simulation (make/set DD),0.8028,2026-08-31T02:24:18Z
Major,5,W,cc5fc579bcbbb6b5,DJ,Simulation (make/set DD),0.8043,2026-08-31T02:24:21Z
Major,6,E,a7258bcfe9c4cf52,HT,Simulation (make/set DD),0.7907,2026-08-31T02:24:35Z
Major,7,E,b087c0b98ebbd02c,C2,Simulation (make/set DD),0.7921,2026-08-31T02:24:39Z
Major,8,E,a266673bc3e8d735,D2,Simulation (make/set DD),0.8126,2026-08-31T02:24:47Z
Major,9,E,d0a2745cb85117de,CK,Simulation (make/set DD),0.7743,2026-08-31T02:24:50Z
Major,10,W,6199fa10a6900743,HT,Simulation (make/set DD),0.8298,2026-08-31T02:24:51Z
Major,11,W,79dca8a411a71dff,D6,Simulation (make/set DD),0.6184,2026-08-31T02:24:53Z
Major,12,E,b722c509c6b1b211,CQ,Simulation (make/set DD),0.7872,2026-08-31T02:24:57Z
Major,13,E,8388caee3894a965,D2,Simulation (make/set DD),0.7931,2026-08-31T02:24:59Z
Major,14,E,2906fc49e518d27a,H4,Simulation (make/set DD),0.8752,2026-08-31T02:25:09Z
Major,15,E,57cde20bcefe0633,HQ,Simulation (make/set DD),0.5855,2026-08-31T02:25:12Z
Major,16,E,24f46b15feb06add,S3,Simulation (make/set DD),0.7361,2026-08-31T02:25:14Z
Major,17,W,c864831d9a4c8c20,DK,Simulation (make/set DD),0.8336,2026-08-31T02:25:20Z
Major,18,E,fda5b20bd7edaa1e,CK,Simulation (make/set DD),0.6459,2026-08-31T02:25:22Z
Major,19,E,f86a8e6ee672d494,DK,Simulation (make/set DD),0.7678,2026-08-31T02:25:25Z
Major,20,E,a422995f2414bbe7,SQ,Simulation (make/set DD),0.7795,2026-08-31T02:25:34Z
Michaels,1,E,d491c8e7770a659a,ST,Simulation (make/set DD),0.8344,2026-08-31T02:25:37Z
Michaels,2,W,31ea7374416bbac9,CK,Simulation (make/set DD),0.815,2026-08-31T02:25:43Z
Michaels,3,E,fc88e7014ba5013a,HK,Simulation (make/set DD),0.8201,2026-08-31T02:25:54Z
Michaels,4,W,8368d316734ee266,HK,Simulation (make/set DD),0.8099,2026-08-31T02:25:58Z
Michaels,5,E,186a3ba310410935,SA,Simulation (make/set DD),0.8171,2026-08-31T02:26:02Z
Michaels,6,E,edac4fcfe016686d,H7,Simulation (make/set DD),0.834,2026-08-31T02:26:05Z
Michaels,7,E,fb301b204845490e,DA,Simulation (make/set DD),0.8188,2026-08-31T02:26:11Z
Michaels,8,W,bd7ec29e80c3e5ad,D3,Simulation (make/set DD),0.733,2026-08-31T02:26:13Z
Michaels,9,W,c2de0d799afb90e2,S2,Simulation (make/set DD),0.8406,2026-08-31T02:26:57Z
Michaels,10,W,9b2c139f13cee428,C7,Simulation (make/set DD),0.6385,2026-08-31T02:26:59Z
Michaels,11,W,6648c117d829204e,HK,Simulation (make/set DD),0.8109,2026-08-31T02:27:02Z
Michaels,12,E,20774deb58405414,H3,Simulation (make/set DD),0.8729,2026-08-31T02:27:08Z
Michaels,13,E,679cc472cf407579,DK,Simulation (make/set DD),0.6198,2026-08-31T02:27:11Z
Michaels,14,W,c5fb8415b038e40a,SK,Simulation (make/set DD),0.7897,2026-08-31T02:27:18Z
Michaels,15,E,882725294c8f1c15,SA,Simulation (make/set DD),0.6858,2026-08-31T02:27:20Z
Michaels,16,W,efe2c9274ba17db6,DK,Simulation (make/set DD),0.8681,2026-08-31T02:27:25Z
Michaels,17,W,4b4c6940f99a0736,DT,Simulation (make/set DD),0.6203,2026-08-31T02:27:27Z
Michaels,18,N,93c735db24c5fcbc,SQ,Simulation (make/set DD),0.6252,2026-08-31T02:27:29Z
Michaels,19,E,aefa3959b119aa79,C2,Simulation (make/set DD),0.7643,2026-08-31T02:27:36Z
Michaels,20,W,87053fb46667f4f0,DK,Simulation (make/set DD),0.6045,2026-08-31T02:27:38Z
Minor,1,E,8ac49e26fc0211a4,H3,Simulation (make/set DD),0.9092,2026-08-31T02:27:45Z
Minor,2,E,263d55257c785817,H7,Simulation (make/set DD),0.7713,2026-08-31T02:27:48Z
Minor,3,E,41e364d2b0243ffe,DK,Simulation (make/set DD),0.8172,2026-08-31T02:27:50Z
Minor,4,E,2e51ff41e4bc92ee,HK,Simulation (make/set DD),0.782,2026-08-31T02:27:53Z
Minor,5,E,408030a8cd177513,H5,Simulation (make/set DD),0.8157,2026-08-31T02:27:57Z
Minor,6,W,f51cbbb6212d144d,S5,Simulation (make/set DD),0.8554,2026-08-31T02:28:02Z
Minor,7,W,2c18406aabf713d4,S3,Simulation (make/set DD),0.7479,2026-08-31T02:28:05Z
Minor,8,W,9a461d240e7cfa43,H4,Simulation (make/set DD),0.7864,2026-08-31T02:28:08Z
Minor,9,W,d688f02d3a2da703,D7,Simulation (make/set DD),0.8768,2026-08-31T02:28:13Z
Minor,10,E,0ace91da3d58d2fc,DK,Simulation (make/set DD),0.8166,2026-08-31T02:28:15Z
Minor,11,W,bc5f787cdb481c51,S2,Simulation (make/set DD),0.8677,2026-08-31T02:28:23Z
Minor,12,W,da9a11b761a81570,CK,Simulation (make/set DD),0.8431,2026-08-31T02:28:28Z
Minor,13,E,ebbef0fb0862e148,C3,Simulation (make/set DD),0.8253,2026-08-31T02:28:36Z
Minor,14,W,24708ff2789ef56d,S8,Simulation (make/set DD),0.8517,2026-08-31T02:28:39Z
Minor,15,W,686508c01fc630a8,D9,Simulation (make/set DD),0.8153,2026-08-31T02:28:44Z
Minor,16,E,70469d20831b43a5,H3,Simulation (make/set DD),0.8063,2026-08-31T02:28:49Z
Minor,17,W,162b2a4d34a77e8d,D4,Simulation (make/set DD),0.7992,2026-08-31T02:28:52Z
Minor,18,W,171316273a33f73f,CK,Simulation (make/set DD),0.8027,2026-08-31T02:28:56Z
Minor,19,W,aa961f9ce3a2754f,C6,Simulation (make/set DD),0.5823,2026-08-31T02:28:58Z
Minor,20,E,59ef8d133a0e84fc,SQ,Simulation (make/set DD),0.5821,2026-08-31T02:29:00Z
NMF,1,W,a74687626ab6dd63,H6,Simulation (make/set DD),0.8298,2026-08-31T02:29:06Z
NMF,2,W,461d375cb0c0d1c7,DQ,Simulation (make/set DD),0.7305,2026-08-31T02:29:10Z
NMF,3,W,70b0e0a7dd636d0e,CJ,Simulation (make/set DD),0.7793,2026-08-31T02:29:13Z
NMF,4,W,c2b1ed92be34a11b,C3,Simulation (make/set DD),0.8678,2026-08-31T02:29:19Z
NMF,5,E,04749745dc1c6901,CJ,Simulation (make/set DD),0.6739,2026-08-31T02:29:22Z
NMF,6,E,8b6d7210af477c89,CQ,Simulation (make/set DD),0.8442,2026-08-31T02:29:27Z
NMF,7,E,c8090b47fa1f2abb,DQ,Simulation (make/set DD),0.8783,2026-08-31T02:29:32Z
NMF,8,W,6d777065032db649,S4,Simulation (make/set DD),0.8392,2026-08-31T02:29:38Z
NMF,9,E,a24a0ec72b7a92aa,H7,Simulation (make/set DD),0.7095,2026-08-31T02:29:44Z
NMF,10,W,dc339c552a1e8826,H5,Simulation (make/set DD),0.5443,2026-08-31T02:29:47Z
NMF,11,E,8855c2bcc73e5910,H8,Simulation (make/set DD),0.8218,2026-08-31T02:29:53Z
NMF,12,E,55cea87bae60c76a,H5,Simulation (make/set DD),0.5404,2026-08-31T02:29:55Z
NMF,13,E,fb137a02a2124719,D6,Simulation (make/set DD),0.7599,2026-08-31T02:29:58Z
NMF,14,W,731a340266eaa250,H8,Simulation (make/set DD),0.7049,2026-08-31T02:30:04Z
Negative,1,E,4d591ecbc73b21c3,SK,Simulation (make/set DD),0.8083,2026-08-31T02:30:16Z
Negative,2,E,c256e9a3b3ae930d,SJ,Simulation (make/set DD),0.8867,2026-08-31T02:30:25Z
Negative,3,W,8f75278481ce73fe,SK,Simulation (make/set DD),0.8594,2026-08-31T02:30:47Z
Negative,4,E,dd2a17d36fee7302,C9,Simulation (make/set DD),0.7954,2026-08-31T02:30:58Z
Negative,5,W,d26f6b847d6665b9,ST,Simulation (make/set DD),0.7704,2026-08-31T02:31:05Z
